,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,bionote.csv,rebecca-aiml.csv,arm-webradio.csv
arm-webradio.csv,0.63,0.82,0.72,0.89,0.66,0.68,0.89,0.81,0.95,0.8,0.79,0.75,0.0
aubit4gl.csv,0.69,0.62,0.56,0.67,0.59,0.69,0.06,0.81,0.71,0.81,0.58,0.83,0.83
bionote.csv,0.98,1.0,1.0,1.0,0.86,0.93,0.96,0.91,1.0,0.95,0.25,0.91,0.75
liferea.csv,0.6,1.01,0.85,0.64,0.63,0.15,0.68,0.62,1.0,0.75,0.68,0.6,0.59
opensim4opencog.csv,0.87,1.02,1.0,0.89,0.8,0.64,0.64,0.09,1.0,0.93,0.76,0.85,0.61
pclasses.csv,0.78,0.36,0.84,0.71,0.65,0.92,0.73,0.84,1.0,0.81,0.78,0.69,0.69
plearn.csv,0.08,0.78,0.86,0.78,0.51,0.83,0.77,0.83,0.88,0.62,0.89,0.33,0.59
psrchive.csv,0.9,1.0,0.83,0.9,0.07,0.93,0.68,0.75,1.0,0.92,0.54,0.78,0.83
re2c.csv,0.65,0.83,0.17,0.83,0.61,1.0,0.72,1.0,0.88,0.77,0.77,0.56,0.88
rebecca-aiml.csv,0.65,0.83,0.85,0.83,0.81,0.59,0.92,0.76,1.0,0.87,0.67,0.02,0.87
thrust.csv,0.88,1.04,0.71,0.96,0.94,0.77,0.85,1.01,0.02,0.84,0.93,0.69,0.68
tzod.csv,0.63,0.93,0.53,0.04,0.77,0.71,0.85,0.68,1.0,0.72,0.56,0.48,0.66
yaprm.csv,0.58,0.63,0.87,0.76,0.56,0.8,0.64,0.82,0.72,0.03,0.67,0.6,0.96
