,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,bionote.csv,rebecca-aiml.csv,arm-webradio.csv
arm-webradio.csv,0.41,0.27,0.33,0.19,0.5,0.38,0.15,0.22,0.06,0.32,0.25,0.26,1.0
aubit4gl.csv,0.46,0.55,0.67,0.48,0.64,0.46,0.94,0.39,0.29,0.49,0.75,0.61,0.17
bionote.csv,0.02,0.0,0.0,0.0,0.14,0.08,0.04,0.09,0.0,0.05,0.75,0.09,0.26
liferea.csv,0.44,0.0,0.17,0.41,0.43,0.85,0.48,0.43,0.0,0.27,0.38,0.41,0.46
opensim4opencog.csv,0.14,0.0,0.0,0.11,0.21,0.38,0.54,0.91,0.0,0.08,0.25,0.17,0.43
pclasses.csv,0.22,0.64,0.17,0.3,0.36,0.08,0.3,0.17,0.0,0.19,0.25,0.31,0.31
plearn.csv,0.92,0.27,0.17,0.33,0.57,0.31,0.61,0.26,0.12,0.73,0.12,0.76,0.63
psrchive.csv,0.1,0.0,0.17,0.11,0.93,0.08,0.61,0.26,0.0,0.08,0.5,0.22,0.2
re2c.csv,0.39,0.27,0.83,0.19,0.43,0.0,0.44,0.0,0.12,0.32,0.25,0.44,0.23
rebecca-aiml.csv,0.37,0.18,0.17,0.26,0.21,0.69,0.96,0.3,0.0,0.16,0.62,0.98,0.49
thrust.csv,0.12,0.0,0.33,0.11,0.07,0.31,0.59,0.0,1.0,0.16,0.12,0.31,0.4
tzod.csv,0.53,0.09,0.5,0.96,0.36,0.92,0.83,0.57,0.0,0.43,1.0,0.72,0.69
yaprm.csv,0.64,0.45,0.5,0.41,0.57,0.23,0.46,0.35,0.47,0.97,0.38,0.59,0.2
