,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.63,0.57,0.07,0.51,0.7,0.69,0.42,0.59,0.74,0.51
jmule.csv,0.54,0.51,0.14,0.69,0.69,0.64,0.35,0.59,0.74,0.86
nosleepsoftware.csv,0.31,0.06,0.71,0.0,0.06,0.09,0.02,0.2,0.02,0.54
open-ms.csv,0.72,0.66,0.6,0.19,0.17,0.54,0.56,0.57,0.57,0.47
qgo.csv,0.87,0.54,0.6,0.37,0.66,0.55,0.67,0.53,0.39,0.13
rezilla.csv,0.59,0.42,0.74,0.66,0.22,0.36,0.59,0.47,0.41,0.59
riff-evolve.csv,0.59,0.47,0.0,0.25,0.64,0.68,0.69,0.55,0.7,0.0
uwom.csv,0.65,0.3,0.0,0.5,0.67,0.36,0.06,0.63,0.82,0.58
virtuoso.csv,0.49,0.13,0.0,0.09,0.17,0.2,0.48,0.13,0.53,0.27
yield.csv,0.68,0.68,0.62,0.25,0.75,0.24,0.64,0.6,0.77,0.27
