,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.62,0.54,1.05,0.74,0.38,0.63,0.87,0.6,0.48,0.56
jmule.csv,0.69,0.64,1.07,0.62,0.63,0.53,0.76,0.74,0.63,0.24
nosleepsoftware.csv,0.75,0.95,0.36,1.0,0.95,0.94,0.98,0.87,1.02,0.67
open-ms.csv,0.49,0.65,0.47,0.85,0.86,0.6,0.51,0.56,0.6,0.84
qgo.csv,0.2,0.8,0.71,0.69,0.51,0.66,0.63,0.8,0.89,0.97
rezilla.csv,0.66,0.88,0.64,0.43,0.95,0.76,0.64,0.85,0.91,0.56
riff-evolve.csv,0.55,0.61,1.06,0.79,0.43,0.41,0.6,0.54,0.37,1.0
uwom.csv,0.54,0.75,1.16,0.63,0.41,0.73,0.95,0.62,0.3,0.48
virtuoso.csv,0.83,0.97,1.0,0.97,0.96,0.95,0.59,0.97,0.8,0.94
yield.csv,0.61,0.56,0.65,0.79,0.32,0.94,0.7,0.7,0.46,0.93
