,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,bscwweasel.csv,retromenu.csv,capcode.csv,botsnscouts.csv,nodal.csv,st-filteredstatistics.csv,lcfizvtop.csv,avisynth2.csv,powerfolder.csv,bzbyte.csv,mediaportal.csv,emite.csv,duplicati.csv,uface.csv
avisynth2.csv,1.0,1.0,1.0,1.0,0.83,0.9,0.86,0.92,0.97,0.91,0.92,0.91,0.03,0.8,0.79,0.73,0.97,0.98,0.94
botsnscouts.csv,0.51,0.91,0.58,0.41,0.61,0.61,0.98,0.93,0.37,0.78,0.51,0.73,0.48,0.67,0.67,0.58,0.59,0.5,0.3
bscwweasel.csv,0.58,0.94,0.61,0.86,0.67,0.36,0.44,0.63,0.75,0.75,0.77,0.92,0.89,0.44,0.69,0.61,0.89,0.69,0.41
bzbyte.csv,0.81,1.0,1.0,1.0,0.71,0.88,1.0,0.8,0.9,1.0,0.86,1.0,1.0,0.93,0.36,1.0,1.0,0.24,1.0
capcode.csv,0.87,0.97,0.68,0.88,0.68,0.77,0.57,0.43,0.62,0.54,0.72,0.62,0.68,0.93,0.55,0.69,0.83,1.01,0.56
emite.csv,0.61,0.88,0.69,0.55,0.58,0.64,0.44,0.85,0.45,0.8,0.7,0.58,0.47,0.07,0.73,0.59,0.52,0.72,0.66
fbmanager.csv,1.0,1.0,1.0,0.43,0.65,0.95,0.45,0.61,0.74,0.83,0.75,0.8,1.0,0.81,0.88,1.0,0.82,0.5,0.44
lcfizvtop.csv,0.8,0.97,0.59,0.54,0.7,0.61,0.73,0.62,0.61,0.78,0.75,0.36,1.0,0.37,0.48,0.69,0.69,0.5,0.35
mediaportal.csv,0.77,0.5,0.71,0.94,0.58,0.55,0.51,0.5,0.62,0.91,0.63,0.92,0.67,0.6,0.81,0.52,0.9,0.72,0.72
nodal.csv,0.86,0.99,0.73,0.85,0.82,0.72,0.91,0.55,0.8,0.44,0.75,0.89,1.03,1.05,0.94,0.81,0.78,0.72,0.61
paintown.csv,0.33,1.0,0.65,0.77,0.94,0.97,0.92,1.0,1.02,0.97,1.01,0.72,0.94,0.86,0.63,0.7,0.8,1.11,1.0
powerfolder.csv,0.59,0.8,0.82,0.54,0.7,0.71,0.5,0.94,0.71,0.8,0.81,0.51,0.39,0.09,0.71,0.72,0.94,0.86,0.8
retromenu.csv,1.0,0.98,0.84,0.69,0.61,0.75,0.36,0.72,0.67,0.67,0.92,0.82,1.0,0.6,0.74,0.67,0.91,0.91,0.86
smbopensoft.csv,0.99,0.28,0.92,0.91,0.72,0.75,0.91,0.67,0.95,0.55,1.0,0.65,0.85,0.86,0.87,0.9,0.82,1.0,0.41
sqlpower-library.csv,1.0,0.98,1.0,1.0,0.4,0.7,0.38,0.76,1.0,0.76,0.92,1.0,1.0,0.87,1.01,1.0,0.88,1.0,0.7
st-filteredstatistics.csv,0.68,0.97,0.87,0.91,0.95,0.81,0.96,0.85,0.63,1.0,0.17,0.91,0.71,0.99,0.66,0.93,0.8,1.0,0.99
triplea.csv,0.58,0.83,0.39,0.57,0.63,0.67,0.73,0.81,0.61,0.66,0.63,0.65,0.55,0.49,0.74,0.65,0.7,0.16,0.61
uface.csv,0.77,1.0,0.91,0.78,0.55,0.6,0.76,0.68,0.89,0.71,0.92,0.8,1.0,0.76,0.84,0.86,0.65,1.0,0.08
