,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.6,0.97,0.5,0.97,0.92,0.5,0.8,0.96,0.93,0.97
h2database.csv,0.53,0.59,0.86,0.43,0.66,0.41,0.96,0.51,0.89,0.45
hannosset.csv,0.88,0.99,0.94,0.83,0.96,0.85,0.67,0.99,0.92,0.89
jaql.csv,0.39,0.54,0.68,0.45,0.71,0.75,0.96,0.97,0.5,0.62
megameknet.csv,0.43,0.37,0.5,0.41,0.54,0.42,0.42,0.52,0.46,0.57
ngl.csv,0.37,0.41,0.46,0.37,0.44,0.35,0.47,0.47,0.45,0.35
qedo.csv,0.69,0.98,0.92,0.97,0.96,0.0,0.97,0.98,0.56,0.76
qmmp.csv,0.39,0.37,0.46,0.46,0.66,0.38,0.48,0.54,0.57,0.39
raven-monitoring.csv,0.58,0.52,0.55,0.66,0.64,0.92,0.87,0.9,0.76,0.78
v8.csv,0.99,0.73,0.42,0.48,0.58,0.63,0.49,0.69,0.89,0.58
