,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.69,0.13,0.04,0.3,0.09,0.0,0.02,0.27,0.2,0.11
h2database.csv,0.61,0.68,0.2,0.7,0.56,0.51,0.15,0.5,0.26,0.17
hannosset.csv,0.02,0.29,0.13,0.28,0.26,0.82,0.4,0.25,0.16,0.17
jaql.csv,0.73,0.54,0.3,0.65,0.46,0.0,0.16,0.16,0.02,0.17
megameknet.csv,0.61,0.26,0.61,0.58,0.67,0.54,0.63,0.56,0.33,0.55
ngl.csv,0.3,0.63,0.55,0.6,0.65,0.51,0.63,0.65,0.68,0.38
qedo.csv,0.28,0.0,0.27,0.14,0.16,0.0,0.2,0.13,0.48,0.77
qmmp.csv,0.48,0.55,0.58,0.56,0.5,0.74,0.5,0.61,0.68,0.43
raven-monitoring.csv,0.43,0.42,0.75,0.4,0.47,0.2,0.26,0.31,0.33,0.21
v8.csv,0.11,0.52,0.39,0.46,0.52,0.74,0.85,0.45,0.34,0.45
