,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,1.0,0.6,0.45,1.0,0.7,0.0,0.33,0.55,1.0,0.67
arsenal-1.csv,0.81,0.29,0.96,0.59,0.86,0.38,0.23,0.3,0.78,0.74
barracudamvc.csv,1.0,0.41,0.53,0.42,0.83,0.33,0.27,0.24,0.74,0.72
irplus.csv,0.87,0.37,0.53,0.44,0.89,1.0,0.33,0.24,0.92,1.0
lite.csv,0.82,0.64,0.6,0.82,0.85,0.5,1.0,0.44,1.0,1.0
mevenide.csv,0.78,0.36,0.6,0.46,0.88,0.46,0.44,1.0,0.88,0.69
ontopia.csv,0.85,0.5,0.36,0.33,1.0,0.41,0.15,0.19,0.71,0.69
openintents.csv,0.77,1.0,0.58,0.54,0.77,0.46,0.4,0.21,0.82,0.75
ta3d.csv,0.83,0.47,0.5,0.47,0.87,0.42,0.27,0.24,0.77,1.0
tweetsharp.csv,0.89,0.47,0.38,0.49,0.82,0.47,0.32,0.23,1.0,0.62
