,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.18,0.3,0.22,0.93,0.11,0.0,0.31,0.25,0.09,0.07
arsenal-1.csv,0.32,0.38,0.96,0.61,0.42,0.24,0.42,0.64,0.52,0.44
barracudamvc.csv,0.99,0.55,0.63,0.24,0.4,0.35,0.09,0.13,0.0,0.58
irplus.csv,0.53,0.34,0.37,0.54,0.25,0.97,0.59,0.55,0.34,0.17
lite.csv,0.16,0.35,0.13,0.46,0.26,0.28,1.0,0.28,0.12,0.13
mevenide.csv,0.23,0.38,0.48,0.57,0.24,0.51,0.56,0.94,0.2,0.56
ontopia.csv,0.4,0.65,0.41,0.43,1.0,0.63,0.16,0.44,0.26,0.54
openintents.csv,0.34,0.89,0.66,0.63,0.34,0.65,0.66,0.28,0.25,0.3
ta3d.csv,0.34,0.6,0.52,0.58,0.63,0.64,0.5,0.52,0.56,1.0
tweetsharp.csv,0.57,0.61,0.39,0.67,0.34,0.6,0.65,0.53,0.98,0.45
