,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,mevenide.csv
alembik.csv,0.46,0.46,0.18,1.0,0.5,0.3
arsenal-1.csv,0.68,0.37,0.98,0.37,0.44,0.35
barracudamvc.csv,1.0,0.54,0.6,0.6,0.43,0.4
mevenide.csv,0.6,0.4,0.25,0.41,0.4,0.98
mumble.csv,0.4,0.13,0.18,0.37,0.96,0.11
openintents.csv,0.23,0.98,0.31,0.59,0.37,0.3
