,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv
adobe-source.csv,0.09,0.33,0.14,0.08,0.0,0.33,0.11,0.09,0.0,0.11,0.04,0.08,0.05,0.87,0.04
atlc.csv,0.82,0.81,0.79,0.85,0.98,1.0,0.8,0.74,0.29,0.78,0.78,0.75,0.63,0.83,0.67
ipfilter.csv,0.91,0.37,0.71,1.0,0.54,0.67,0.72,0.87,1.0,0.62,0.78,0.79,0.67,0.77,0.98
liferea.csv,0.09,0.19,0.14,0.77,0.1,1.0,0.57,0.48,0.0,0.14,0.39,0.21,0.28,0.33,0.11
miranda-icq.csv,0.0,0.11,0.14,0.46,0.24,0.33,0.37,0.48,0.06,0.08,0.26,0.87,0.24,0.27,0.26
opensim4opencog.csv,0.09,0.07,0.36,0.15,0.24,0.67,0.69,0.91,0.0,0.22,0.26,0.13,0.43,0.17,0.41
pclasses.csv,1.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.07,0.0
pfaedit.csv,0.09,0.56,0.5,0.46,0.24,0.67,0.98,0.43,0.0,0.38,0.52,0.35,0.41,0.4,0.28
psrchive.csv,0.36,0.04,1.0,0.08,0.02,0.67,0.0,0.22,0.0,0.19,0.13,0.17,0.1,0.07,0.11
theresa.csv,0.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thrust.csv,0.0,0.07,0.07,0.23,0.34,0.67,0.61,0.3,0.88,0.16,0.35,0.42,0.2,0.47,0.54
tktoolkit.csv,0.27,0.19,0.36,0.0,0.05,0.0,0.3,0.0,0.47,0.14,0.96,0.12,0.13,0.33,0.24
tzod.csv,0.27,0.96,0.57,0.62,0.73,1.0,0.8,0.57,0.0,0.46,0.74,0.52,0.44,0.37,0.39
yaprm.csv,0.45,0.44,0.71,0.15,0.59,0.33,0.67,0.35,0.47,0.97,0.61,0.35,0.39,0.5,0.35
