,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv
adobe-source.csv,0.13,0.37,0.24,0.12,0.0,0.29,0.2,0.08,0.0,0.19,0.08,0.13,0.09,0.93,0.08
atlc.csv,0.35,0.63,0.29,0.39,0.99,0.15,0.73,0.24,0.25,0.64,0.23,0.4,0.78,0.34,0.67
ipfilter.csv,0.28,0.29,0.26,0.38,0.49,0.08,0.66,0.22,0.45,0.53,0.24,0.42,0.8,0.3,0.99
liferea.csv,0.13,0.26,0.17,0.87,0.18,0.6,0.65,0.34,0.0,0.21,0.3,0.24,0.43,0.32,0.18
miranda-icq.csv,0.0,0.18,0.19,0.39,0.38,0.2,0.51,0.27,0.1,0.13,0.14,0.93,0.39,0.28,0.41
opensim4opencog.csv,0.09,0.13,0.26,0.24,0.33,0.14,0.73,0.95,0.0,0.31,0.15,0.17,0.6,0.19,0.54
pclasses.csv,1.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.11,0.0
pfaedit.csv,0.12,0.5,0.28,0.32,0.37,0.2,0.99,0.23,0.0,0.42,0.23,0.3,0.58,0.33,0.4
psrchive.csv,0.31,0.06,1.0,0.12,0.05,0.19,0.0,0.22,0.0,0.29,0.17,0.24,0.18,0.08,0.19
theresa.csv,0.0,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thrust.csv,0.0,0.1,0.08,0.19,0.41,0.17,0.62,0.15,0.94,0.24,0.19,0.31,0.34,0.31,0.61
tktoolkit.csv,0.17,0.24,0.37,0.0,0.09,0.0,0.37,0.0,0.47,0.21,0.98,0.15,0.23,0.25,0.36
tzod.csv,0.32,0.98,0.32,0.35,0.74,0.25,0.75,0.21,0.0,0.52,0.2,0.31,0.61,0.33,0.49
yaprm.csv,0.28,0.44,0.34,0.12,0.55,0.11,0.62,0.17,0.33,0.99,0.26,0.27,0.56,0.32,0.44
