,gtad.csv,kaffeine.csv,sarasvati.csv,taokgame.csv,scen-connect.csv,jaxen.csv,jsr308-langtools.csv,continuum-ide.csv,zabbix.csv,carabiner.csv,free-evolution.csv,qedo.csv,jruby.csv,oorexx.csv
carabiner.csv,15.0,1.0,16.0,5.0,23.0,50.0,6.0,9.0,6.0,0.0,6.0,0.0,0.0,2.0
continuum-ide.csv,72.0,0.0,32.0,6.0,16.0,7.0,1.0,0.0,27.0,0.0,1.0,260.0,0.0,1.0
free-evolution.csv,23.0,0.0,19.0,2.0,61.0,18.0,2.0,6.0,0.0,6.0,0.0,1.0,0.0,0.0
gtad.csv,0.0,0.0,2.0,91.0,61.0,86.0,0.0,55.0,0.0,1.0,139.0,260.0,0.0,60.0
jaxen.csv,72.0,0.0,10.0,1.0,61.0,0.0,4.0,2.0,0.0,3.0,1.0,260.0,0.0,0.0
jruby.csv,27.0,0.0,2.0,9.0,24.0,55.0,2.0,4.0,161.0,4.0,2.0,19.0,0.0,1.0
jsr308-langtools.csv,11.0,0.0,4.0,9.0,61.0,13.0,0.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0
kaffeine.csv,50.0,0.0,17.0,2.0,41.0,59.0,12.0,10.0,0.0,12.0,16.0,21.0,0.0,1.0
oorexx.csv,15.0,0.0,7.0,7.0,61.0,86.0,3.0,6.0,0.0,5.0,1.0,2.0,0.0,0.0
qedo.csv,72.0,0.0,8.0,1.0,61.0,86.0,0.0,55.0,2.0,5.0,139.0,0.0,0.0,60.0
sarasvati.csv,2.0,0.0,0.0,0.0,61.0,8.0,2.0,2.0,0.0,1.0,1.0,8.0,0.0,60.0
taokgame.csv,72.0,0.0,4.0,0.0,61.0,7.0,1.0,0.0,0.0,0.0,1.0,260.0,0.0,1.0
zabbix.csv,42.0,0.0,21.0,2.0,41.0,34.0,8.0,6.0,0.0,7.0,13.0,0.0,0.0,1.0
