,gtad.csv,kaffeine.csv,sarasvati.csv,taokgame.csv,scen-connect.csv,jaxen.csv,jsr308-langtools.csv,continuum-ide.csv,zabbix.csv,carabiner.csv,free-evolution.csv,qedo.csv,jruby.csv,oorexx.csv
carabiner.csv,0.06,0.63,0.1,0.07,0.04,0.05,0.67,0.32,0.27,1.0,0.22,0.06,0.89,0.64
continuum-ide.csv,0.0,0.74,0.04,0.07,0.06,0.09,0.82,1.0,0.12,0.38,0.32,0.0,0.85,0.5
free-evolution.csv,0.03,1.0,0.11,0.08,0.0,0.13,0.77,0.41,0.62,0.34,1.0,0.04,0.9,0.4
gtad.csv,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0
jaxen.csv,0.0,1.0,0.2,0.64,0.0,1.0,0.69,0.35,1.0,0.25,0.5,0.0,0.91,0.7
jruby.csv,0.02,0.83,0.05,0.1,0.04,0.07,0.79,0.34,0.0,0.41,0.23,0.03,1.0,0.5
jsr308-langtools.csv,0.05,1.0,0.13,0.12,0.0,0.17,1.0,0.38,0.38,0.5,0.31,0.05,0.85,0.67
kaffeine.csv,0.03,0.98,0.09,0.11,0.02,0.07,0.59,0.29,0.4,0.36,0.23,0.1,0.84,0.59
oorexx.csv,0.04,1.0,0.08,0.17,0.0,0.0,0.74,0.32,0.38,0.34,0.33,0.15,0.89,0.97
qedo.csv,0.0,0.86,0.11,0.09,0.0,0.0,1.0,0.0,0.11,0.11,0.0,1.0,0.5,0.0
sarasvati.csv,0.33,0.8,1.0,0.43,0.0,0.18,0.69,0.36,0.17,0.67,0.33,0.1,0.88,0.0
taokgame.csv,0.0,1.0,0.1,1.0,0.0,0.11,0.67,0.33,0.88,1.0,0.46,0.0,0.79,0.57
zabbix.csv,0.03,0.84,0.07,0.11,0.02,0.09,0.71,0.33,1.0,0.21,0.24,0.09,0.84,0.61
