,gtad.csv,kaffeine.csv,sarasvati.csv,taokgame.csv,scen-connect.csv,jaxen.csv,jsr308-langtools.csv,continuum-ide.csv,zabbix.csv,carabiner.csv,free-evolution.csv,qedo.csv,jruby.csv,oorexx.csv
carabiner.csv,0.94,0.77,0.55,0.44,0.58,0.53,0.45,0.41,0.67,0.64,0.88,0.54,0.47,0.49
continuum-ide.csv,0.93,0.79,0.69,0.93,0.65,0.91,0.73,0.62,0.88,0.77,0.68,0.56,0.62,0.88
free-evolution.csv,0.55,0.89,0.69,0.49,0.67,0.57,0.4,0.31,0.76,0.66,0.86,0.49,0.62,0.87
gtad.csv,0.5,0.0,0.75,0.86,0.5,0.0,0.8,0.0,0.0,0.5,0.0,0.96,0.75,0.0
jaxen.csv,0.67,0.83,0.8,0.91,0.62,0.8,0.56,0.45,0.0,0.75,0.9,0.74,0.91,0.9
jruby.csv,0.44,0.83,0.84,0.47,0.64,0.4,0.42,0.38,0.0,0.56,0.95,0.48,0.49,0.5
jsr308-langtools.csv,0.63,0.4,0.5,0.58,0.48,0.54,0.37,0.34,0.43,0.62,0.52,0.56,0.43,0.83
kaffeine.csv,0.35,0.39,0.44,0.38,0.4,0.42,0.43,0.33,0.36,0.45,0.46,0.37,0.4,0.38
oorexx.csv,0.64,0.53,0.48,0.69,0.46,0.75,0.52,0.53,0.43,0.51,0.5,0.72,0.72,0.5
qedo.csv,0.5,0.86,0.89,0.91,0.67,0.76,0.5,0.0,0.52,0.89,0.8,0.95,0.75,0.0
sarasvati.csv,0.67,0.8,0.91,0.86,0.5,0.91,0.56,0.82,0.92,0.67,0.67,0.97,0.94,0.0
taokgame.csv,0.88,0.75,0.9,0.9,0.8,0.89,0.83,0.83,0.94,0.0,0.92,0.83,0.95,0.86
zabbix.csv,0.38,0.45,0.51,0.44,0.52,0.36,0.45,0.31,0.67,0.58,0.51,0.47,0.42,0.48
