,gtad.csv,kaffeine.csv,sarasvati.csv,taokgame.csv,scen-connect.csv,jaxen.csv,jsr308-langtools.csv,continuum-ide.csv,zabbix.csv,carabiner.csv,free-evolution.csv,qedo.csv,jruby.csv,oorexx.csv
carabiner.csv,0.21,1.0,0.38,0.62,0.38,0.72,0.55,0.59,0.53,0.0,0.36,0.7,0.53,0.56
continuum-ide.csv,0.2,0.45,0.27,0.17,0.26,0.12,0.1,0.0,0.29,0.16,0.3,0.3,0.32,0.16
free-evolution.csv,0.42,0.0,0.2,0.73,0.05,0.32,0.35,0.49,0.16,0.41,0.0,0.32,0.26,0.36
gtad.csv,0.0,0.0,0.01,0.09,0.03,0.0,0.0,0.0,0.0,0.02,0.01,0.11,0.0,0.0
jaxen.csv,0.04,0.0,0.15,0.05,0.34,0.0,0.25,0.33,0.0,0.06,0.05,0.43,0.16,0.12
jruby.csv,0.56,0.09,0.22,0.56,0.39,0.82,0.25,0.49,0.0,0.39,0.16,0.44,0.0,0.04
jsr308-langtools.csv,0.25,0.0,0.3,0.28,0.38,0.24,0.0,0.46,0.49,0.16,0.35,0.26,0.42,0.16
kaffeine.csv,0.93,0.09,0.5,0.96,0.67,0.87,1.0,1.0,1.0,0.53,0.96,0.7,0.68,1.0
oorexx.csv,0.34,0.0,0.57,0.35,0.57,0.05,0.35,0.33,0.58,0.53,0.37,0.22,0.26,0.04
qedo.csv,0.03,0.09,0.05,0.12,0.05,0.45,0.0,0.0,0.67,0.16,0.05,0.0,0.11,0.0
sarasvati.csv,0.03,0.09,0.0,0.05,0.03,0.11,0.25,0.18,0.1,0.02,0.02,0.15,0.11,0.0
taokgame.csv,0.11,0.0,0.06,0.0,0.08,0.1,0.1,0.1,0.02,0.0,0.07,0.3,0.21,0.12
zabbix.csv,0.82,0.73,0.7,0.76,0.67,0.52,0.55,0.87,0.0,0.75,0.79,0.95,0.95,0.68
