,selenium.csv,jnode.csv,mcmc-jags.csv,freebios.csv,miranda-icq.csv,quarkplusplus.csv,metacosm.csv
freebios.csv,0.58,0.31,0.2,0.78,0.4,0.71,0.26
jnode.csv,0.03,0.81,0.07,0.12,0.04,0.04,0.07
mcmc-jags.csv,0.9,0.81,0.87,0.49,0.79,1.0,0.85
metacosm.csv,0.68,0.38,0.6,0.16,0.29,0.21,0.7
miranda-icq.csv,0.35,0.69,0.93,0.39,0.58,0.5,0.59
quarkplusplus.csv,0.62,0.38,0.6,0.1,0.15,0.62,0.85
selenium.csv,0.7,0.75,0.53,0.18,0.62,0.33,0.74
