,adaptagrams.csv,lazarus-ccr.csv,redshell.csv,intact.csv,rohxel.csv,japano.csv,red5.csv,pustefix.csv,officefloor.csv,toped.csv,customsagetv.csv,roolo.csv,xreal.csv,glas.csv,jas.csv,primefaces.csv
adaptagrams.csv,0.32,0.8,0.51,0.91,0.0,0.65,0.42,0.8,0.65,0.55,0.75,0.92,0.49,0.83,0.48,0.0
customsagetv.csv,0.32,0.75,0.57,0.9,0.63,0.56,0.88,0.86,0.99,0.34,0.48,0.67,0.52,0.83,0.77,0.75
glas.csv,0.39,0.39,0.53,0.57,0.39,0.55,0.59,0.48,0.99,0.35,0.42,0.53,0.51,0.47,0.74,0.36
intact.csv,0.37,0.39,0.7,0.59,0.64,0.51,0.44,0.45,0.43,0.5,0.43,0.61,0.68,0.86,0.68,0.42
japano.csv,0.55,0.42,0.64,0.4,0.38,0.53,0.38,0.48,0.48,0.41,0.32,0.45,0.55,0.54,0.52,0.34
jas.csv,0.4,0.67,0.67,0.5,0.38,0.8,0.89,0.67,1.0,0.91,0.65,0.67,0.96,0.89,0.82,0.9
lazarus-ccr.csv,0.36,0.46,0.53,0.35,0.48,0.47,0.37,0.39,0.5,0.42,0.61,0.46,0.4,0.51,0.46,0.45
officefloor.csv,0.31,0.48,0.51,0.64,0.0,0.41,0.92,0.47,0.54,0.41,0.88,0.75,0.37,0.92,0.67,0.75
primefaces.csv,0.32,0.35,0.45,0.35,0.37,0.46,0.33,0.38,0.48,0.32,0.45,0.41,0.36,0.47,0.42,0.49
pustefix.csv,0.33,0.75,0.5,0.59,0.5,0.57,0.45,0.67,0.55,0.31,0.67,0.62,0.46,0.63,0.42,0.85
red5.csv,0.32,0.35,0.52,0.34,0.36,0.48,0.42,0.39,0.44,0.32,0.38,0.38,0.37,0.52,0.58,0.33
redshell.csv,0.83,0.65,0.56,0.48,0.82,0.62,0.48,0.42,1.0,0.0,0.57,0.57,0.76,0.65,0.6,0.5
rohxel.csv,0.44,0.35,0.54,0.77,0.41,0.51,0.83,0.83,0.68,0.35,0.65,0.71,0.66,0.55,0.8,0.37
roolo.csv,0.45,0.39,0.49,0.4,0.65,0.62,0.37,0.45,0.47,0.38,0.35,0.82,0.42,0.53,0.44,0.31
toped.csv,0.35,0.44,0.51,0.5,0.42,0.48,0.37,0.4,0.5,0.38,0.83,0.48,0.36,0.51,0.46,0.36
xreal.csv,0.79,0.7,0.98,0.83,0.86,0.9,0.54,0.78,1.0,0.9,0.9,0.86,0.88,0.92,0.96,0.93
