,adaptagrams.csv,lazarus-ccr.csv,redshell.csv,intact.csv,rohxel.csv,japano.csv,red5.csv,pustefix.csv,officefloor.csv,toped.csv,customsagetv.csv,roolo.csv,xreal.csv,glas.csv,jas.csv,primefaces.csv
adaptagrams.csv,0.83,0.25,0.4,0.16,0.04,0.22,0.56,0.35,0.46,0.38,0.05,0.5,0.61,0.1,0.66,0.0
customsagetv.csv,0.67,0.05,0.28,0.2,0.35,0.33,0.24,0.11,0.28,0.54,0.9,0.12,0.62,0.13,0.65,0.06
glas.csv,0.59,0.39,0.37,0.46,0.59,0.58,0.53,0.39,0.21,0.62,0.43,0.4,0.76,0.71,0.63,0.54
intact.csv,0.72,0.52,0.33,0.74,0.32,0.37,0.57,0.46,0.75,0.39,0.53,0.34,0.61,0.17,0.65,0.42
japano.csv,0.44,0.42,0.48,0.52,0.0,0.77,0.32,0.47,0.26,0.31,0.27,0.37,0.6,0.47,0.61,0.17
jas.csv,0.54,0.05,0.31,0.56,0.47,0.26,0.27,0.34,0.19,0.19,0.54,0.43,0.64,0.17,0.88,0.28
lazarus-ccr.csv,0.0,0.77,0.67,0.42,0.47,0.46,0.57,0.13,0.65,0.51,0.3,0.57,0.36,0.32,0.37,0.58
officefloor.csv,0.61,0.53,0.41,0.47,0.04,0.4,0.27,0.64,0.65,0.67,0.1,0.06,0.41,0.19,0.0,0.06
primefaces.csv,0.0,0.0,0.0,0.27,0.56,0.54,0.13,0.0,0.33,0.0,0.42,0.29,0.0,0.0,0.49,0.73
pustefix.csv,0.61,0.1,0.51,0.52,0.44,0.45,0.5,0.67,0.45,0.0,0.49,0.6,0.69,0.36,0.0,0.25
red5.csv,0.0,0.6,0.54,0.27,0.33,0.52,0.69,0.2,0.71,0.0,0.09,0.19,0.3,0.71,0.28,0.47
redshell.csv,0.1,0.33,0.74,0.57,0.4,0.46,0.51,0.44,0.19,0.02,0.54,0.45,0.43,0.45,0.6,0.5
rohxel.csv,0.62,0.0,0.48,0.31,0.74,0.58,0.15,0.11,0.47,0.35,0.42,0.44,0.23,0.63,0.15,0.57
roolo.csv,0.46,0.26,0.67,0.47,0.34,0.47,0.4,0.38,0.21,0.63,0.68,0.71,0.61,0.59,0.21,0.45
toped.csv,0.38,0.62,0.56,0.53,0.32,0.0,0.34,0.13,0.39,0.85,0.31,0.46,0.05,0.32,0.3,0.37
xreal.csv,0.31,0.36,0.27,0.44,0.3,0.42,0.46,0.2,0.1,0.14,0.43,0.38,1.0,0.23,0.54,0.23
