,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv
fceugc.csv,0.12,0.53,0.32,0.98,0.42,0.67,0.64
flexpay.csv,0.25,0.58,0.93,0.28,0.28,0.51,0.6
modellus.csv,0.22,0.51,0.29,0.39,0.5,0.99,0.48
open-data-kit.csv,0.33,0.61,0.26,0.45,0.4,0.62,0.99
phet.csv,0.97,0.62,0.19,0.43,0.24,0.25,0.53
qtractor.csv,0.21,1.0,0.27,0.33,0.47,0.62,0.57
sumatrapdf.csv,0.22,0.62,0.29,0.58,0.98,0.67,0.57
