,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv
alsa.csv,0.47,0.45,0.49,0.49,0.42,0.4,0.48,0.35,0.36,0.46,0.43,0.44,0.47,0.4,0.51,0.42
arcallians.csv,0.52,0.48,0.57,0.78,0.6,0.43,0.53,0.66,0.4,0.69,0.88,0.7,0.43,0.48,0.57,0.5
arianne.csv,0.48,0.42,0.42,0.5,0.48,0.55,0.48,0.36,0.37,0.4,0.46,0.38,0.35,0.4,0.61,0.49
aztec.csv,0.71,0.46,0.63,0.8,0.47,0.82,0.36,0.35,0.56,0.41,0.43,0.46,0.83,0.51,0.83,0.56
bl-toolkit.csv,0.44,0.5,0.54,0.75,0.48,0.47,0.4,0.36,0.41,0.39,0.46,0.38,0.36,0.67,0.42,0.48
clamav.csv,0.39,0.4,0.56,0.41,0.36,0.41,0.49,0.34,0.4,0.45,0.35,0.42,0.43,0.37,0.36,0.45
gnupdate.csv,0.57,0.47,0.86,0.59,0.49,0.48,0.68,0.94,0.39,0.56,0.68,0.6,0.43,0.63,0.74,0.49
les-indemodables.csv,0.41,0.43,0.43,0.48,0.47,0.42,0.49,0.37,0.56,0.56,0.4,0.5,0.59,0.4,0.41,0.56
mbse.csv,0.43,0.41,0.73,0.46,0.49,0.44,0.34,0.46,0.38,0.4,0.43,0.41,0.36,0.46,0.47,0.66
ns-3-dev-def-routing.csv,0.69,0.88,0.56,0.84,0.5,0.57,0.9,0.37,0.73,0.42,0.46,0.44,0.5,0.59,0.79,0.53
openxava.csv,0.6,0.52,0.88,0.57,0.9,0.42,0.43,0.76,0.47,0.37,0.37,0.43,0.67,0.66,0.4,0.5
phonon-vlc-mplayer.csv,0.65,0.53,0.5,0.87,0.56,0.95,0.45,0.36,0.42,0.69,0.57,0.5,0.41,0.5,0.73,0.51
qgis.csv,0.64,0.52,0.74,0.61,0.61,0.96,0.5,0.83,0.45,0.83,0.0,0.67,0.46,0.47,0.54,0.54
vars-redux.csv,0.52,0.51,0.43,0.68,0.47,0.74,0.37,0.37,0.48,0.41,0.36,0.44,0.47,0.42,0.48,0.47
xapian.csv,0.46,0.52,0.53,0.6,0.65,0.48,0.52,0.39,0.4,0.82,0.8,0.59,0.45,0.44,0.65,0.97
yafdotnet.csv,0.44,0.39,0.65,0.44,0.43,0.38,0.36,0.37,0.37,0.7,0.46,0.42,0.45,0.38,0.48,0.48
