,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv
alsa.csv,0.55,0.45,0.54,0.55,0.47,0.84,1.0,0.88,0.66,0.61,0.61,0.56,0.56,0.61,0.47,0.63
arcallians.csv,0.6,0.58,0.44,0.27,0.39,1.0,1.04,0.54,0.72,0.7,0.56,0.76,0.6,0.6,0.51,0.82
arianne.csv,0.4,0.92,1.0,0.87,1.0,0.61,0.97,1.0,0.74,0.95,1.0,1.0,0.97,0.94,0.51,0.95
aztec.csv,0.78,0.66,0.69,0.46,0.64,0.32,0.56,0.69,0.62,0.66,0.55,0.67,0.71,0.55,0.85,0.58
bl-toolkit.csv,0.73,1.0,0.35,0.79,1.0,0.92,0.68,1.0,0.71,1.0,1.0,1.0,0.95,0.74,1.01,1.0
clamav.csv,0.66,0.58,0.75,0.76,0.73,0.91,0.96,0.55,0.61,0.32,0.64,0.61,0.56,0.67,0.76,0.52
gnupdate.csv,0.64,0.82,0.88,0.53,0.68,0.85,0.78,0.88,0.72,0.8,0.29,0.64,0.69,0.69,0.85,0.62
les-indemodables.csv,0.73,0.57,0.91,0.6,0.61,0.6,0.92,0.96,0.68,0.55,0.71,0.73,0.59,0.73,0.58,0.45
mbse.csv,0.69,0.79,0.83,0.94,0.89,0.97,0.53,0.42,0.84,0.83,0.69,0.72,0.72,0.75,0.86,0.63
ns-3-dev-def-routing.csv,0.66,0.7,0.52,0.4,0.81,0.66,0.75,0.98,0.75,0.7,0.88,0.71,0.73,0.54,0.49,0.7
openxava.csv,0.79,0.68,0.88,0.98,0.92,0.85,0.39,0.74,0.64,0.54,0.69,0.64,0.74,0.72,0.71,0.56
phonon-vlc-mplayer.csv,0.59,0.58,0.41,0.26,0.42,0.4,0.77,1.0,0.45,0.7,0.38,0.63,0.63,0.56,0.47,0.82
qgis.csv,0.68,0.47,0.92,0.41,0.61,0.84,0.96,0.95,0.61,0.8,1.0,0.99,0.76,0.56,0.45,0.6
vars-redux.csv,0.58,0.53,0.78,0.38,0.47,0.66,0.56,0.98,0.4,0.41,0.59,0.65,0.58,0.59,0.5,0.69
xapian.csv,0.56,0.54,0.86,0.61,0.6,0.94,0.91,0.89,0.86,0.77,0.65,0.7,0.7,0.89,0.29,0.8
yafdotnet.csv,0.59,0.54,0.73,0.64,0.79,0.84,0.63,0.96,0.91,0.82,0.54,0.59,0.4,0.66,0.55,0.49
