,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,miranda-icq.csv,roolo.csv,freewrl.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,soar.csv,geotools.csv,web-cat.csv,fulguro.csv
cleartk.csv,0.01,0.88,0.31,1.0,0.27,0.36,0.69,0.92,0.35,0.27,0.34,0.46,0.99,0.05,0.69,0.21,0.55,0.32,0.32,0.11
encog-cs.csv,0.02,0.85,0.21,0.89,0.28,0.27,0.8,0.94,0.98,0.23,0.38,0.53,1.0,0.02,0.68,0.3,0.55,0.28,0.38,0.06
extprosys.csv,0.01,0.88,0.96,0.88,0.27,0.3,0.78,0.94,0.34,0.23,0.35,0.53,0.99,0.05,0.64,0.25,0.55,0.25,0.35,0.15
freewrl.csv,0.02,0.93,0.33,0.89,0.25,0.27,0.88,0.92,0.41,0.32,0.21,1.0,1.0,0.1,0.74,0.18,0.44,0.4,0.45,0.05
fulguro.csv,0.04,1.0,0.4,0.8,0.45,0.38,1.0,0.92,0.26,0.41,0.0,0.5,0.98,0.0,0.71,0.18,0.56,0.26,0.0,1.0
geotools.csv,0.07,0.95,0.14,1.0,0.33,0.41,0.75,0.96,0.49,0.2,0.25,0.5,1.0,0.0,0.86,0.16,0.6,1.0,0.36,0.11
ibatisdb.csv,0.0,1.0,0.31,0.89,0.28,0.25,0.77,0.9,0.67,0.13,0.24,0.33,1.0,0.25,0.74,1.0,0.75,0.39,0.54,0.15
intact.csv,0.02,0.93,0.5,0.93,0.33,1.0,0.89,1.0,0.43,0.27,0.43,0.57,1.0,0.05,0.73,0.18,0.31,0.38,0.35,0.11
japano.csv,0.01,0.89,0.32,0.89,0.23,0.28,0.81,1.0,0.36,0.22,0.35,0.55,0.99,0.06,0.68,0.26,0.58,0.28,0.39,0.13
miranda-icq.csv,0.05,0.85,0.35,0.86,0.27,0.32,0.93,0.93,0.46,0.94,0.33,0.55,1.0,0.0,0.72,0.24,0.57,0.36,0.48,0.09
ofbiz.csv,0.0,0.9,0.32,0.88,0.29,0.29,0.79,0.9,0.48,0.26,0.33,0.0,1.0,0.06,0.98,0.26,1.0,0.43,0.38,0.0
opennms.csv,0.0,0.9,0.38,0.9,0.92,0.5,0.79,1.0,0.52,0.4,0.46,0.58,1.0,0.0,0.78,0.19,0.46,0.35,0.0,0.03
papertoolkit.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4,0.0,0.0
rohxel.csv,0.01,0.81,0.34,0.92,0.22,0.38,0.98,0.93,0.45,0.25,0.26,0.62,1.0,0.08,0.77,0.36,0.59,0.48,0.31,0.13
roolo.csv,0.04,0.8,0.47,0.96,0.19,0.28,0.75,0.97,0.38,0.18,1.0,0.25,1.0,0.1,0.67,0.16,0.57,0.3,0.39,0.0
sevenupdate.csv,0.01,1.0,0.28,0.88,0.27,0.29,0.78,0.93,0.36,0.26,0.35,0.53,0.99,0.06,0.68,0.26,0.55,0.27,0.38,0.12
soar.csv,0.02,0.88,0.26,0.86,0.23,0.3,0.76,0.93,0.38,0.27,0.27,0.47,0.99,0.04,0.67,0.22,1.0,0.29,0.39,0.09
web-cat.csv,0.02,0.95,0.33,0.89,0.17,0.32,0.83,0.98,0.39,0.21,0.38,0.62,0.99,0.0,0.56,0.08,0.46,0.26,1.0,0.12
