,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,miranda-icq.csv,roolo.csv,freewrl.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,soar.csv,geotools.csv,web-cat.csv,fulguro.csv
cleartk.csv,54.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,3.0,1.0,3.0,0.0,21.0,5.0,39.0,1.0,16.0,1.0,15.0
encog-cs.csv,46.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,26.0,1.0,17.0,0.0,35.0,1.0,2.0
extprosys.csv,75.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,16.0,4.0,0.0,4.0,0.0,21.0,2.0,17.0,0.0,35.0,1.0,2.0
freewrl.csv,42.0,0.0,0.0,0.0,12.0,2.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,4.0,1.0,18.0,2.0,5.0,1.0,13.0
fulguro.csv,17.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,20.0,4.0,56.0,3.0,0.0,62.0,0.0,10.0,0.0,11.0,49.0,0.0
geotools.csv,10.0,0.0,2.0,0.0,4.0,3.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,62.0,0.0,14.0,1.0,0.0,0.0,3.0
ibatisdb.csv,104.0,0.0,7.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0
intact.csv,37.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0,0.0,17.0,4.0,10.0,2.0,3.0,0.0,3.0
japano.csv,78.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,15.0,3.0,0.0,3.0,0.0,17.0,2.0,17.0,0.0,34.0,1.0,2.0
miranda-icq.csv,11.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,62.0,0.0,1.0,0.0,1.0,1.0,7.0
ofbiz.csv,104.0,0.0,10.0,0.0,3.0,4.0,1.0,0.0,1.0,2.0,2.0,50.0,0.0,13.0,0.0,8.0,0.0,0.0,2.0,89.0
opennms.csv,104.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,62.0,0.0,11.0,2.0,6.0,49.0,27.0
papertoolkit.csv,104.0,54.0,186.0,0.0,104.0,102.0,49.0,0.0,183.0,201.0,56.0,50.0,196.0,0.0,0.0,140.0,55.0,1.0,49.0,89.0
rohxel.csv,51.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,2.0,3.0,6.0,1.0,0.0,6.0,1.0,4.0,0.0,3.0,3.0,1.0
roolo.csv,17.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,8.0,7.0,0.0,2.0,0.0,2.0,12.0,27.0,1.0,28.0,3.0,89.0
sevenupdate.csv,78.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,16.0,4.0,0.0,4.0,0.0,21.0,2.0,17.0,0.0,35.0,1.0,2.0
soar.csv,45.0,0.0,2.0,1.0,5.0,1.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,25.0,1.0,13.0,0.0,24.0,1.0,2.0
web-cat.csv,42.0,0.0,7.0,1.0,1.0,4.0,0.0,0.0,9.0,4.0,0.0,3.0,0.0,62.0,0.0,11.0,0.0,28.0,0.0,1.0
