,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,miranda-icq.csv,roolo.csv,freewrl.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,soar.csv,geotools.csv,web-cat.csv,fulguro.csv
cleartk.csv,0.36,0.46,0.5,0.37,0.41,0.5,0.42,0.41,0.36,0.37,0.43,0.69,0.38,0.35,0.4,0.48,0.5,0.39,0.41,0.41
encog-cs.csv,0.46,0.52,0.9,0.42,0.45,0.49,0.41,0.53,0.62,0.64,0.48,0.38,0.64,0.45,0.61,0.48,0.36,0.48,0.34,0.94
extprosys.csv,0.33,0.43,0.78,0.4,0.37,0.39,0.5,0.58,0.4,0.47,0.47,0.33,0.61,0.36,0.42,0.45,0.36,0.57,0.52,0.52
freewrl.csv,0.42,0.43,0.57,0.46,0.47,0.59,0.56,0.48,0.66,0.63,0.47,0.44,0.5,0.43,0.42,0.57,0.69,0.4,0.45,0.64
fulguro.csv,0.72,0.87,0.93,0.9,0.91,0.88,0.86,0.92,0.6,0.85,0.5,0.86,0.92,0.8,0.98,0.94,0.75,0.92,0.67,0.88
geotools.csv,0.93,0.45,0.86,0.94,0.7,0.81,0.88,0.78,0.85,0.41,0.88,0.5,0.73,0.88,0.96,0.84,0.9,0.68,0.82,0.89
ibatisdb.csv,0.93,0.9,0.76,0.81,0.94,0.83,0.77,0.84,0.89,0.93,0.76,0.83,0.64,0.88,0.87,0.82,0.75,0.94,0.62,0.92
intact.csv,0.54,0.41,0.73,0.43,0.52,0.72,0.78,0.74,0.52,0.73,0.86,0.79,0.95,0.5,0.51,0.71,0.69,0.4,0.65,0.79
japano.csv,0.3,0.43,0.51,0.39,0.38,0.35,0.41,0.49,0.38,0.41,0.41,0.33,0.43,0.42,0.41,0.44,0.61,0.45,0.34,0.44
miranda-icq.csv,0.95,0.5,0.92,0.67,0.46,0.44,0.79,0.57,0.67,0.79,0.62,0.34,0.66,0.69,0.5,0.76,0.38,0.46,0.33,0.56
ofbiz.csv,0.7,0.42,0.61,0.53,0.94,0.51,0.53,0.5,0.76,0.42,0.67,0.0,0.4,0.65,0.44,0.57,0.0,0.66,0.46,0.0
opennms.csv,0.81,0.7,0.92,0.9,0.77,0.88,0.58,0.9,0.96,0.93,0.92,0.92,0.8,0.75,0.81,0.94,0.69,0.76,0.0,0.66
papertoolkit.csv,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.8,0.0,0.5
rohxel.csv,0.36,0.41,0.59,0.35,0.44,0.46,0.42,0.43,0.38,0.39,0.4,0.88,0.35,0.54,0.43,0.42,0.64,0.55,0.56,0.42
roolo.csv,0.78,0.73,0.93,0.91,0.56,0.72,0.75,0.76,0.87,0.91,0.84,0.75,0.89,0.57,0.62,0.61,0.86,0.48,0.42,0.0
sevenupdate.csv,0.31,0.47,0.47,0.35,0.36,0.33,0.37,0.47,0.36,0.39,0.42,0.33,0.38,0.42,0.4,0.42,0.36,0.45,0.32,0.41
soar.csv,0.45,0.51,0.59,0.42,0.44,0.4,0.56,0.54,0.38,0.43,0.49,0.44,0.51,0.45,0.5,0.5,0.53,0.62,0.39,0.52
web-cat.csv,0.52,0.68,0.67,0.61,0.78,0.95,0.78,0.85,0.97,0.77,0.66,0.52,0.5,0.92,0.84,0.85,0.62,0.68,0.59,0.45
