,jython.csv,jitterbit.csv,gzigzag.csv,blue-c.csv,jguard.csv,unbvision.csv,ppcboot.csv,repositorium.csv,personalaccess.csv,xbg.csv,gdis.csv,wxstudio.csv,icescrum.csv,elateportal.csv
blue-c.csv,0.26,0.45,0.71,0.03,0.76,0.54,0.57,0.84,0.59,0.59,0.61,0.74,0.51,1.01
elateportal.csv,0.78,0.58,0.53,0.52,0.56,0.62,0.71,0.74,0.57,0.6,0.65,0.72,0.7,0.0
gdis.csv,1.0,0.79,0.86,0.82,0.77,0.84,0.62,0.61,0.68,0.75,0.08,0.61,0.77,0.95
gzigzag.csv,0.38,0.72,0.0,1.0,0.92,0.87,0.78,0.58,0.79,1.03,0.86,0.82,0.69,0.91
icescrum.csv,0.41,0.77,0.64,0.97,0.72,0.9,0.77,1.0,0.65,1.0,0.45,0.95,0.05,0.95
jguard.csv,0.49,0.72,0.69,0.84,0.0,0.53,0.91,0.74,0.75,0.62,0.85,0.62,0.77,1.0
jitterbit.csv,0.33,0.05,0.52,0.98,0.79,0.78,0.73,0.84,0.72,0.65,0.93,0.81,0.66,0.83
jython.csv,0.0,0.72,0.7,0.97,0.84,0.94,0.95,0.76,0.73,0.87,1.0,0.88,0.48,0.95
personalaccess.csv,0.98,0.72,0.74,0.78,0.59,0.7,0.77,0.84,0.0,0.7,0.56,0.71,0.55,0.58
ppcboot.csv,0.98,0.54,0.66,0.44,0.65,0.57,0.12,0.47,0.46,0.63,0.76,0.92,0.6,0.8
repositorium.csv,0.97,0.71,0.71,0.93,0.72,0.71,0.95,0.36,0.83,0.71,0.79,0.76,0.64,0.92
unbvision.csv,0.97,0.51,0.76,0.5,0.75,0.04,0.63,0.82,0.6,0.62,0.72,0.86,0.75,0.93
wxstudio.csv,0.73,0.7,0.83,0.71,0.76,0.96,0.86,0.75,0.72,0.76,0.83,0.05,0.71,0.9
xbg.csv,0.86,0.92,0.84,0.97,0.91,0.9,0.69,0.82,0.97,0.0,0.95,0.92,0.95,0.97
