,paintown.csv,google-collections.csv,smbopensoft.csv,open-media-library.csv,forester-atv.csv,openefm.csv,badtrinitycore.csv,trackit.csv,jbpm.csv,nassp.csv,oppna-program-hsatools.csv,bulmages.csv,st-filteredstatistics.csv,projectfactory.csv,hannosset.csv,wxstudio.csv,opendvr.csv,mevenide.csv,thedata.csv
badtrinitycore.csv,0.92,0.9,0.8,0.93,0.74,0.95,0.98,0.95,0.95,0.89,0.76,0.39,0.52,0.5,0.46,0.67,0.86,0.76,0.89
bulmages.csv,0.78,0.89,0.5,0.75,0.67,0.9,0.95,0.8,0.83,0.67,0.93,0.85,0.75,0.0,0.0,0.9,0.88,0.89,0.83
forester-atv.csv,0.86,0.8,0.47,0.86,0.58,0.9,0.9,0.67,0.95,0.83,0.88,0.0,0.67,0.5,0.86,0.5,0.88,0.8,0.5
google-collections.csv,0.43,0.39,0.27,0.33,0.35,0.36,0.36,0.39,0.4,0.36,0.39,0.44,0.29,0.38,0.37,0.48,0.44,0.46,0.37
hannosset.csv,0.83,0.83,0.75,0.83,0.0,0.75,0.83,0.0,0.93,0.5,0.0,0.83,0.0,0.89,0.83,0.83,0.75,0.75,0.52
jbpm.csv,0.95,0.92,0.5,0.88,0.85,0.91,0.94,0.85,0.98,0.83,0.96,0.94,0.92,0.9,0.0,0.94,0.89,0.86,0.72
mevenide.csv,0.51,0.67,0.77,0.47,0.35,0.49,0.54,0.7,0.64,0.45,0.53,0.87,0.39,0.47,0.38,0.54,0.56,0.81,0.5
nassp.csv,0.67,0.57,0.67,0.76,0.42,0.81,0.9,0.62,0.67,0.75,0.59,0.85,0.41,0.69,0.55,0.9,0.83,0.46,0.67
open-media-library.csv,0.54,0.92,0.28,0.53,0.43,0.54,0.45,0.86,0.48,0.45,0.54,0.54,0.48,0.47,0.58,0.56,0.47,0.55,0.9
opendvr.csv,0.63,0.45,0.97,0.58,0.62,0.92,0.99,0.76,0.64,0.52,0.62,0.79,0.73,0.61,0.65,0.68,0.85,0.88,0.79
openefm.csv,0.72,0.81,0.35,0.59,0.44,0.64,0.57,0.55,0.49,0.76,0.8,0.7,0.32,0.54,0.79,0.83,0.94,0.57,0.57
oppna-program-hsatools.csv,0.47,0.41,0.27,0.43,0.35,0.41,0.4,0.51,0.42,0.38,0.42,0.43,0.62,0.38,0.67,0.37,0.45,0.46,0.34
paintown.csv,0.51,0.51,0.57,0.38,0.38,0.39,0.5,0.52,0.47,0.42,0.44,0.43,0.37,0.53,0.37,0.44,0.59,0.49,0.5
projectfactory.csv,0.83,0.5,0.38,0.65,0.44,0.7,0.48,0.71,0.7,0.68,0.67,0.55,0.37,0.59,0.64,0.73,0.71,0.54,0.57
smbopensoft.csv,0.63,0.5,0.43,0.36,0.3,0.5,0.55,0.48,0.51,0.53,0.48,0.9,0.3,0.48,0.61,0.55,0.75,0.49,0.5
st-filteredstatistics.csv,0.49,0.44,0.97,0.39,0.36,0.5,0.42,0.43,0.55,0.41,0.53,0.53,0.33,0.41,0.38,0.59,0.53,0.44,0.4
thedata.csv,0.47,0.76,0.27,0.94,0.7,0.59,0.56,0.76,0.57,0.38,0.71,0.37,0.59,0.6,0.35,0.4,0.45,0.69,0.75
trackit.csv,0.62,0.78,0.0,0.69,0.94,0.67,0.71,0.55,0.93,0.93,0.53,0.65,0.82,0.68,0.38,0.66,0.64,0.66,0.73
wxstudio.csv,0.74,0.83,0.47,0.61,0.46,0.87,0.47,0.71,0.93,0.87,0.65,0.66,0.77,0.62,0.88,0.62,0.66,0.71,0.5
