,paintown.csv,google-collections.csv,smbopensoft.csv,open-media-library.csv,forester-atv.csv,openefm.csv,badtrinitycore.csv,trackit.csv,jbpm.csv,nassp.csv,oppna-program-hsatools.csv,bulmages.csv,st-filteredstatistics.csv,projectfactory.csv,hannosset.csv,wxstudio.csv,opendvr.csv,mevenide.csv,thedata.csv
badtrinitycore.csv,0.08,0.5,0.02,0.22,0.2,0.22,0.0,0.35,0.05,0.11,0.78,0.54,0.54,0.05,0.46,0.0,0.11,0.49,0.15
bulmages.csv,0.23,0.0,0.01,0.04,0.05,0.07,0.04,0.04,0.02,0.22,0.22,0.01,0.0,0.02,0.0,0.04,0.13,0.24,0.1
forester-atv.csv,0.0,0.0,0.34,0.04,0.0,0.07,0.01,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.1,0.04,0.11,0.03,0.03
google-collections.csv,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.91,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.98
hannosset.csv,0.01,0.0,0.04,0.09,0.0,0.04,0.02,0.04,0.04,0.04,0.0,0.08,0.0,0.09,0.0,0.08,0.08,0.03,0.39
jbpm.csv,0.21,0.0,0.01,0.13,0.25,0.07,0.05,0.35,0.0,0.11,0.43,0.18,0.08,0.14,0.01,0.16,0.45,0.05,0.4
mevenide.csv,0.4,0.5,0.1,0.5,0.6,0.3,0.28,0.22,0.35,0.48,0.35,0.3,0.31,0.37,0.8,0.31,0.45,0.0,0.55
nassp.csv,0.03,0.0,0.0,0.22,0.32,0.1,0.13,0.17,0.17,0.02,0.04,0.12,0.0,0.14,0.3,0.08,0.08,0.3,0.18
open-media-library.csv,0.45,1.0,0.94,0.0,0.48,0.39,0.56,0.26,0.55,0.46,0.48,0.48,0.62,0.72,0.49,0.22,0.38,0.45,0.13
opendvr.csv,0.4,1.0,0.17,0.59,0.48,0.12,0.18,0.17,0.52,0.43,0.65,0.34,0.23,0.58,0.52,0.59,0.02,0.33,0.35
openefm.csv,0.6,0.0,0.71,0.46,0.5,0.01,0.33,0.57,0.67,0.28,0.13,0.55,0.69,0.26,0.32,0.31,0.09,0.23,0.31
oppna-program-hsatools.csv,0.22,0.5,1.0,0.46,0.9,0.81,0.72,0.61,0.97,0.72,0.0,0.71,0.38,1.0,0.43,0.49,0.85,1.0,0.84
paintown.csv,0.0,0.0,0.19,0.57,0.5,0.54,0.43,0.39,0.52,0.48,0.17,0.4,0.38,0.49,0.57,0.35,0.26,0.81,0.47
projectfactory.csv,0.21,0.5,0.76,0.22,0.6,0.21,0.49,0.3,0.28,0.39,0.43,0.3,0.31,0.02,0.32,0.14,0.26,0.42,0.29
smbopensoft.csv,0.25,0.0,0.03,0.65,0.57,0.27,0.43,0.3,0.27,0.2,0.13,0.16,0.69,0.35,0.38,0.39,0.26,0.32,0.34
st-filteredstatistics.csv,0.64,1.0,0.12,0.76,0.78,0.51,0.6,0.52,0.54,0.61,0.39,0.78,0.0,0.74,0.99,0.76,0.75,0.77,0.76
thedata.csv,0.42,0.5,1.0,0.11,0.32,0.39,0.55,0.43,0.72,0.65,0.22,0.54,0.54,0.53,0.57,0.33,0.42,0.38,0.0
trackit.csv,0.58,0.5,0.01,0.37,0.32,0.46,0.27,0.0,0.29,0.26,0.57,0.5,0.08,0.51,0.78,0.61,0.64,0.68,0.32
wxstudio.csv,0.3,0.5,0.64,0.39,0.25,0.24,0.54,0.52,0.16,0.28,0.13,0.56,0.31,0.37,0.12,0.06,0.6,0.35,0.52
