,selenium.csv,pcgen.csv,autoopencas.csv,tolven.csv
autoopencas.csv,0.36,0.41,0.64,0.13
pcgen.csv,0.67,0.65,0.43,0.44
selenium.csv,0.69,0.53,0.39,0.54
tolven.csv,0.53,0.58,0.0,0.63
