,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv
apertium.csv,0.39,0.38,0.29,0.6,0.5,0.51,0.09,0.74,0.71,0.4,0.26,0.69,0.6,0.34,0.0,0.43
beast-mcmc.csv,0.63,0.6,0.37,0.62,0.54,0.63,0.45,0.67,0.45,0.7,0.67,0.77,0.77,0.41,0.44,0.6
bigdata.csv,0.35,0.41,0.3,0.55,0.51,0.39,0.56,0.32,0.07,0.55,0.68,0.28,0.86,0.42,0.13,0.42
cuberok.csv,0.45,0.41,0.21,0.44,0.57,0.48,0.61,0.4,0.34,0.67,0.41,0.52,0.77,0.78,0.46,0.34
exist.csv,0.5,0.48,0.4,0.44,0.61,0.63,0.54,0.59,0.32,0.78,0.59,0.57,0.42,0.54,0.49,0.44
icescrum.csv,0.55,0.44,0.31,0.56,0.37,0.57,0.48,0.55,0.35,0.33,0.56,0.5,0.49,0.27,0.22,0.77
jbasic.csv,0.46,0.54,0.3,0.78,0.59,0.65,0.52,0.72,0.46,0.72,0.17,0.83,0.59,0.39,0.44,0.57
jrefactory.csv,0.34,0.68,0.26,0.46,0.27,0.38,0.47,0.39,0.35,0.19,0.59,0.3,0.54,0.7,0.38,0.39
jsecurity.csv,0.3,0.32,0.5,0.28,0.54,0.41,0.32,0.11,0.23,0.68,0.32,0.36,0.29,0.13,0.19,0.24
libopenmetaverse.csv,0.42,0.73,0.32,0.79,0.64,0.68,0.49,0.66,0.52,0.57,0.7,0.77,0.94,0.7,0.26,0.55
mobicents.csv,0.49,0.44,0.38,0.66,0.49,0.68,0.58,0.72,0.47,0.74,0.6,0.68,0.7,0.69,0.47,0.53
opendvr.csv,0.46,0.32,0.25,0.4,0.61,0.56,0.26,0.49,0.33,0.74,0.3,0.57,0.52,0.23,0.53,0.51
power-architect.csv,0.45,0.54,0.42,0.55,0.64,0.58,0.57,0.32,0.48,0.71,0.72,0.86,0.78,0.74,0.45,0.49
sidekar.csv,0.0,0.0,0.0,0.82,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0
wheat.csv,0.45,0.28,0.4,0.46,0.55,0.58,0.43,0.49,0.44,0.73,0.69,0.61,0.65,0.17,0.38,0.57
wsmt.csv,0.25,0.07,0.14,0.12,0.22,0.26,0.4,0.24,0.09,0.06,0.24,0.27,0.34,0.8,0.34,0.0
