,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv,cme.csv
algebsql.csv,0.97,0.96,0.97,0.94,0.91,0.57,0.7,0.95,0.61,0.67,0.66,0.89,0.92,0.93,0.73
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
hydrate.csv,0.88,0.71,0.53,0.0,0.52,0.75,0.53,0.29,0.78,0.56,0.39,0.58,0.69,0.38,0.35
ivef-sdk.csv,0.45,0.5,0.65,0.49,0.54,0.61,0.7,0.0,0.48,0.51,0.67,0.94,0.5,0.0,0.59
jmri.csv,0.47,0.45,0.59,0.48,0.54,0.5,0.57,0.89,0.61,0.84,0.67,0.58,0.63,0.75,0.45
jython.csv,0.44,0.6,0.6,0.54,0.49,0.46,0.47,0.95,0.52,0.4,0.65,0.55,0.43,0.59,0.42
kdenlive.csv,0.44,0.41,0.44,0.43,0.48,0.63,0.61,0.26,0.49,0.41,0.37,0.53,0.57,0.44,0.45
ninject.csv,0.0,0.0,0.66,0.0,0.5,0.5,0.83,0.92,0.0,0.68,0.8,0.67,0.8,0.67,0.64
ondex.csv,0.77,0.69,0.8,0.0,0.72,0.69,0.71,0.89,0.62,0.75,0.97,0.62,0.78,0.57,0.37
opentibia.csv,0.4,0.44,0.47,0.46,0.44,0.65,0.58,0.27,0.44,0.54,0.38,0.43,0.49,0.36,0.47
projectfactory.csv,0.92,0.89,0.99,0.8,0.94,0.0,0.9,0.96,0.92,0.61,0.97,0.72,0.86,0.69,0.91
taverna.csv,0.96,0.93,0.97,0.88,0.74,0.0,0.91,0.28,0.86,0.89,0.96,0.66,0.91,0.89,0.85
tigermud.csv,0.45,0.45,0.39,0.46,0.39,0.65,0.44,0.28,0.51,0.63,0.31,0.56,0.43,0.4,0.39
unbvision.csv,0.63,0.51,0.65,0.58,0.55,0.88,0.67,0.26,0.74,0.44,0.54,0.66,0.5,0.44,0.61
x-ray-mule.csv,0.71,0.79,0.99,0.67,0.79,0.0,0.74,0.0,0.63,0.67,0.98,0.95,0.7,0.75,0.5
