,wpdev.csv,mb-unit.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,unicase.csv,mecat.csv
gwanted.csv,0.9,0.53,0.98,0.96,0.5,0.49,0.67
java-gnome.csv,0.38,0.47,0.43,0.45,0.42,0.46,0.37
mb-unit.csv,0.41,0.45,0.49,0.48,0.35,0.38,0.32
mecat.csv,0.67,0.0,0.5,0.5,0.0,0.95,0.67
rodin-b-sharp.csv,0.79,0.99,0.69,0.98,0.48,0.98,0.68
unicase.csv,0.42,0.51,0.61,0.51,0.5,0.44,0.33
wpdev.csv,0.39,0.42,0.39,0.41,0.38,0.39,0.33
