,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv,cme.csv
algebsql.csv,0.82,0.8,0.43,1.0,0.52,0.99,1.0,0.59,0.87,0.13,0.45,0.34,0.2,0.39,0.4
cme.csv,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hydrate.csv,0.18,0.13,0.07,0.0,0.07,0.01,0.0,0.73,0.07,0.05,0.24,0.06,0.4,0.97,0.0
ivef-sdk.csv,0.76,0.59,0.58,1.0,0.74,1.0,0.24,0.0,0.83,0.72,0.45,0.17,0.4,0.03,0.8
jmri.csv,0.58,0.71,0.97,0.33,0.59,0.21,0.33,0.82,0.73,0.51,0.27,0.83,0.2,0.58,1.0
jython.csv,0.77,0.69,0.69,0.8,0.78,0.99,0.82,0.91,0.87,0.82,0.73,0.86,1.0,0.45,1.0
kdenlive.csv,0.99,0.6,0.51,0.27,0.63,0.16,0.27,0.95,0.77,0.82,0.82,0.34,0.6,0.55,0.6
ninject.csv,0.17,0.07,0.23,0.03,0.11,0.09,0.03,0.5,0.27,0.82,0.06,0.14,1.0,0.3,0.0
ondex.csv,0.14,0.16,0.2,0.03,0.26,0.96,0.09,0.77,0.07,0.08,0.91,0.09,0.4,0.24,0.6
opentibia.csv,0.93,1.0,0.38,0.83,0.33,0.67,0.82,0.59,0.7,0.26,0.42,0.86,0.8,0.82,0.4
projectfactory.csv,0.39,0.28,0.24,0.7,0.37,0.39,0.79,0.36,0.63,0.92,0.27,0.23,0.2,0.33,0.0
taverna.csv,0.03,0.1,0.07,0.07,0.96,0.01,0.7,0.14,0.03,0.41,0.03,0.11,0.0,0.06,0.4
tigermud.csv,0.32,0.24,0.33,0.0,0.37,0.45,0.82,0.64,0.03,0.15,0.42,0.83,0.6,0.73,0.4
unbvision.csv,0.56,0.57,0.95,0.87,0.15,0.91,0.33,0.73,0.97,0.72,0.73,0.4,0.4,0.21,0.8
x-ray-mule.csv,0.48,0.22,0.27,0.97,0.78,0.06,0.12,0.14,0.63,0.67,0.42,0.29,0.2,0.15,0.8
