,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv,cme.csv
algebsql.csv,0.4,0.71,0.46,0.56,0.55,0.5,1.0,0.5,0.29,0.16,0.43,0.38,0.23,0.42,0.44
cme.csv,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hydrate.csv,0.21,0.16,0.09,0.0,0.09,0.01,0.0,0.05,0.09,0.06,0.28,0.07,0.45,0.98,0.0
ivef-sdk.csv,0.66,0.62,0.56,0.73,0.59,1.0,0.26,0.0,0.57,0.53,0.47,0.2,0.31,0.04,0.69
jmri.csv,0.59,0.7,0.97,0.35,0.55,0.21,0.32,0.51,0.54,0.47,0.31,0.0,0.23,0.54,0.78
jython.csv,0.47,0.66,0.63,0.67,0.45,0.55,0.54,0.93,0.51,0.59,0.61,0.65,0.21,0.46,0.62
kdenlive.csv,0.99,0.61,0.53,0.3,0.58,0.19,0.28,0.48,0.7,0.57,0.66,0.38,0.57,0.52,0.48
ninject.csv,0.2,0.09,0.27,0.04,0.13,0.11,0.04,0.2,0.31,0.31,0.07,0.17,1.0,0.34,0.0
ondex.csv,0.17,0.19,0.24,0.04,0.3,0.13,0.11,0.79,0.09,0.1,0.93,0.11,0.44,0.28,0.51
opentibia.csv,0.58,0.98,0.4,0.0,0.37,0.7,0.76,0.16,0.59,0.3,0.43,0.65,0.76,0.45,0.43
projectfactory.csv,0.42,0.32,0.28,0.58,0.41,0.34,0.72,0.41,0.61,0.93,0.3,0.27,0.23,0.37,0.0
taverna.csv,0.04,0.12,0.09,0.09,0.96,0.01,0.7,0.17,0.04,0.44,0.04,0.13,0.0,0.07,0.45
tigermud.csv,0.34,0.28,0.35,0.0,0.4,0.51,0.68,0.33,0.04,0.18,0.42,0.84,0.51,0.58,0.43
unbvision.csv,0.54,0.5,0.09,0.78,0.18,0.91,0.31,0.16,0.98,0.58,0.61,0.42,0.44,0.25,0.68
x-ray-mule.csv,0.5,0.26,0.3,0.98,0.7,0.07,0.14,0.17,0.27,0.52,0.44,0.32,0.22,0.18,0.76
