,qpe.csv,ikvm.csv,acegisecurity.csv,amateur-scrolls.csv,unflobtactical.csv,irrlicht.csv,ultimairis.csv,sigil.csv,xbg.csv,lportal.csv,ns-3-dev-def-routing.csv,les-indemodables.csv,biopax.csv,exl.csv,crux-framework.csv
acegisecurity.csv,0.62,0.82,0.05,1.0,0.91,0.76,0.85,0.68,0.57,0.46,0.81,1.0,0.64,0.83,0.47
amateur-scrolls.csv,0.7,0.9,0.66,0.0,0.89,0.81,0.87,0.68,1.02,0.68,0.91,0.8,0.82,0.71,0.7
biopax.csv,0.57,0.8,0.6,0.63,0.58,0.78,0.7,0.6,0.42,0.82,0.65,0.8,0.06,0.62,0.98
crux-framework.csv,1.0,0.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,0.0
exl.csv,0.59,0.93,0.76,0.63,0.69,0.69,0.8,0.57,0.51,0.71,0.61,0.61,0.32,0.0,0.66
ikvm.csv,0.55,0.05,0.93,0.9,0.73,0.7,0.7,0.8,0.64,0.78,0.78,0.85,0.87,0.8,0.68
irrlicht.csv,0.92,0.65,0.73,0.91,0.92,0.02,0.69,0.81,0.77,0.62,0.82,0.86,0.87,0.75,0.69
les-indemodables.csv,0.6,0.94,0.68,0.96,0.69,0.84,0.79,0.59,0.76,0.64,0.75,0.08,0.8,0.58,0.42
lportal.csv,0.99,0.64,0.99,0.99,0.76,0.88,0.81,0.93,0.83,0.11,0.88,0.97,1.15,1.05,1.0
ns-3-dev-def-routing.csv,0.47,0.7,0.71,0.48,0.58,0.68,0.77,0.43,0.55,0.76,0.03,0.63,0.61,0.47,1.03
qpe.csv,0.21,0.66,0.81,0.81,0.86,0.75,0.96,0.93,0.88,0.85,0.76,0.77,1.02,0.94,0.83
sigil.csv,0.42,0.72,0.55,0.48,0.39,0.7,0.6,0.02,0.78,0.5,0.57,0.63,0.53,0.35,0.61
ultimairis.csv,0.77,0.75,0.64,0.72,0.54,0.89,0.01,0.46,0.72,0.89,0.77,0.6,0.27,0.78,0.92
unflobtactical.csv,0.58,0.72,0.58,0.71,0.03,0.68,0.67,0.57,0.62,0.64,0.68,0.83,0.69,0.68,0.89
xbg.csv,0.9,0.93,0.93,0.77,0.88,0.77,0.64,0.8,0.0,0.81,0.74,0.88,0.96,0.82,0.7
