,qpe.csv,ikvm.csv,acegisecurity.csv,amateur-scrolls.csv,unflobtactical.csv,irrlicht.csv,ultimairis.csv,sigil.csv,xbg.csv,lportal.csv,ns-3-dev-def-routing.csv,les-indemodables.csv,biopax.csv,exl.csv,crux-framework.csv
acegisecurity.csv,0.51,0.82,0.95,0.0,0.14,0.27,0.15,0.5,0.5,0.76,0.23,1.0,0.39,0.17,0.67
amateur-scrolls.csv,0.31,0.14,0.38,1.0,0.11,0.2,0.13,0.33,0.0,0.36,0.11,0.22,0.18,0.29,0.33
biopax.csv,0.95,0.68,0.92,0.95,0.77,0.85,0.79,0.96,0.88,0.97,0.83,1.0,0.97,0.95,1.0
crux-framework.csv,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,1.0
exl.csv,0.95,1.0,0.85,0.85,0.63,0.39,0.21,0.94,0.88,0.92,0.78,0.84,0.72,1.0,1.0
ikvm.csv,0.69,0.95,0.08,0.1,0.4,0.38,0.32,0.25,0.38,0.26,0.27,0.16,0.15,0.2,0.33
irrlicht.csv,0.97,0.55,0.32,0.15,1.0,1.0,0.85,0.96,0.25,0.43,0.82,0.86,0.14,0.27,0.33
les-indemodables.csv,0.46,0.18,0.32,0.05,0.31,0.2,0.23,0.42,0.25,0.41,0.32,0.92,0.21,0.44,1.0
lportal.csv,0.08,0.5,0.02,0.1,0.37,0.14,0.26,0.08,0.25,0.89,0.22,0.11,0.23,0.1,0.0
ns-3-dev-def-routing.csv,0.74,0.36,0.32,0.6,0.46,0.35,0.23,0.71,0.5,0.28,0.98,0.65,0.39,0.59,0.0
qpe.csv,0.79,0.73,0.7,0.55,0.17,0.56,0.81,0.08,0.88,0.53,0.45,0.38,0.82,0.29,0.33
sigil.csv,0.72,0.45,0.78,0.85,0.71,0.32,0.6,0.98,0.25,0.64,0.65,0.54,0.48,0.83,1.0
ultimairis.csv,0.77,0.86,0.75,1.0,0.66,0.86,1.0,0.73,0.62,0.79,0.71,0.54,0.75,0.9,0.67
unflobtactical.csv,0.59,0.32,0.57,0.45,0.97,0.43,0.62,0.44,0.5,0.64,0.4,0.54,0.58,0.71,0.33
xbg.csv,0.1,0.14,0.08,0.4,0.14,0.31,0.45,0.23,1.0,0.22,0.32,0.14,0.04,0.24,0.33
