,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,avisynth2.csv,octet.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv
adonthell.csv,0.79,0.71,1.03,0.67,0.04,0.57,0.7,0.79,0.51,0.63,0.83,0.72,0.65,0.95,0.93,0.53,0.55,0.54,0.61,0.77
autofac.csv,0.43,0.66,0.63,0.1,0.65,0.76,0.52,0.73,0.58,0.41,0.78,0.5,0.65,1.07,0.66,0.41,0.62,0.55,0.66,0.67
avisynth2.csv,0.99,0.96,0.98,0.97,1.0,1.0,0.94,1.0,1.0,1.0,1.0,0.93,0.97,0.0,1.0,0.96,1.0,0.82,1.0,1.0
azureus.csv,0.88,0.71,0.78,0.95,0.86,0.98,0.72,0.79,0.46,0.53,0.79,0.0,0.73,1.0,0.74,0.91,0.81,0.92,0.91,0.95
coot.csv,0.32,0.81,0.84,0.7,0.69,0.66,0.59,0.75,0.87,0.78,0.64,0.58,0.74,0.67,0.78,0.73,0.75,0.78,0.75,0.03
dsworkbench.csv,0.64,0.72,0.08,0.79,0.67,0.92,0.39,0.69,0.9,0.68,1.01,0.86,0.76,0.55,0.64,0.84,0.75,0.48,0.8,0.98
forester-atv.csv,0.94,0.08,0.78,0.97,0.98,0.94,0.94,0.81,0.85,0.88,1.0,0.85,0.9,1.0,1.0,0.92,0.89,0.94,0.97,0.95
freelords.csv,0.44,0.74,0.88,0.79,0.75,0.04,0.7,0.76,0.67,0.76,0.65,0.77,0.74,0.95,0.73,1.0,0.76,0.58,0.83,0.74
gabel.csv,0.99,0.79,0.96,0.58,0.87,0.96,0.65,0.63,0.74,0.12,0.56,0.77,0.84,1.0,1.0,0.85,0.8,1.0,0.92,1.0
geotools.csv,0.55,0.71,0.72,0.93,0.83,0.85,0.65,0.72,0.71,0.89,0.91,0.7,0.74,1.01,0.43,0.81,0.05,0.7,0.77,0.58
gephex.csv,0.74,0.82,0.85,0.68,0.74,0.57,0.49,0.58,0.92,0.82,0.9,0.8,0.79,0.91,0.58,0.85,0.59,0.51,0.05,0.71
google-collections.csv,0.0,0.98,0.94,0.97,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.88,1.0,1.0,1.0,1.0,1.0,0.95,0.97
jpaul.csv,0.76,0.9,0.83,0.73,1.0,1.0,0.06,0.8,0.71,0.64,0.9,0.59,0.64,0.67,0.73,0.69,0.76,0.88,1.0,0.93
mycila.csv,0.9,1.0,0.85,0.73,0.82,1.0,0.92,0.97,0.72,1.0,0.0,0.81,0.84,1.01,0.77,0.89,0.87,0.94,0.93,0.63
neodatis-odb.csv,1.18,0.63,0.56,0.78,0.9,0.82,0.96,0.08,0.66,0.76,0.91,0.75,0.75,1.0,0.88,0.81,0.81,0.67,0.73,0.75
octet.csv,0.36,0.68,0.49,0.73,0.72,0.82,0.71,0.66,0.91,0.57,1.01,0.7,0.62,0.44,0.0,0.37,0.6,0.78,0.76,0.91
pokenetonline.csv,0.66,0.57,0.71,0.58,0.47,0.66,0.58,0.72,0.75,0.42,0.66,0.81,0.0,0.69,0.72,0.35,0.54,0.53,0.79,0.9
scenemonitor.csv,0.55,0.8,0.67,0.68,0.9,0.84,0.61,0.82,0.0,0.7,0.86,0.67,0.86,0.97,0.6,0.84,0.65,0.7,0.89,0.76
servicestack.csv,0.94,0.41,0.77,0.71,0.86,0.79,0.65,0.77,0.81,0.64,1.02,0.64,0.63,0.46,0.87,0.71,0.72,0.12,0.92,0.7
twostep.csv,0.82,0.57,0.65,0.53,0.92,0.66,0.61,0.82,0.91,0.47,0.58,0.49,0.57,1.02,0.74,0.0,0.47,0.6,0.79,0.81
