,go.csv,yale.csv,freebios.csv,vars-redux.csv,gnupdate.csv,alsa.csv,qse.csv,pgui.csv,pcsx2.csv,rebecca-aiml.csv,wxjs.csv,glelite.csv,ffigo.csv,gstreamer.csv,skia.csv,biopax.csv,metacosm.csv
alsa.csv,0.43,0.45,0.25,0.48,0.54,0.98,0.59,0.54,0.58,0.22,0.0,0.2,0.15,0.51,0.2,0.17,0.41
biopax.csv,0.69,0.47,0.45,0.27,0.71,0.58,0.74,0.38,0.7,0.3,0.33,0.61,0.58,0.62,0.59,0.98,0.42
ffigo.csv,0.6,0.29,0.43,0.57,0.67,0.39,0.78,0.72,0.61,0.52,0.0,0.42,0.97,0.64,0.51,0.5,0.59
freebios.csv,0.58,0.47,1.0,0.53,0.23,0.4,0.4,0.61,0.53,0.85,0.61,0.29,0.59,0.6,0.64,0.35,0.42
glelite.csv,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.33,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0
gnupdate.csv,0.24,0.21,0.23,0.47,0.96,0.19,0.51,0.41,0.42,0.36,0.15,0.2,0.25,0.28,0.26,0.35,0.56
go.csv,0.96,0.67,0.29,0.62,0.79,0.55,0.76,0.71,0.71,0.39,0.29,0.51,0.64,0.62,0.51,0.35,0.48
gstreamer.csv,0.64,0.56,0.28,0.69,0.34,0.49,0.47,0.62,0.56,0.39,0.41,0.42,0.58,0.97,0.62,0.4,0.69
metacosm.csv,0.23,0.32,0.21,0.4,0.34,0.19,0.39,0.39,0.29,0.33,0.43,0.2,0.29,0.26,0.16,0.37,0.97
pcsx2.csv,0.6,0.55,0.46,0.52,0.48,0.52,0.58,0.46,0.99,0.35,0.0,0.57,0.51,0.58,0.43,0.46,0.63
pgui.csv,0.47,0.24,0.26,0.46,0.6,0.3,0.55,0.91,0.51,0.32,0.14,0.29,0.3,0.25,0.39,0.38,0.58
qse.csv,0.47,0.38,0.28,0.59,0.68,0.38,0.97,0.59,0.61,0.42,0.53,0.31,0.39,0.39,0.34,0.6,0.69
rebecca-aiml.csv,0.51,0.36,0.44,0.47,0.38,0.53,0.51,0.59,0.53,0.95,0.53,0.45,0.57,0.58,0.57,0.54,0.49
skia.csv,0.13,0.09,0.1,0.24,0.0,0.21,0.24,0.18,0.15,0.33,0.64,0.15,0.05,0.07,0.93,0.04,0.09
vars-redux.csv,0.4,0.32,0.31,0.98,0.23,0.22,0.39,0.57,0.47,0.18,0.0,0.19,0.32,0.46,0.3,0.24,0.53
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
yale.csv,0.52,0.9,0.62,0.33,0.34,0.44,0.38,0.41,0.37,0.51,0.61,0.47,0.33,0.31,0.47,0.0,0.42
