,adaptagrams.csv,lazarus-ccr.csv,redshell.csv,intact.csv,rohxel.csv,japano.csv,red5.csv,pustefix.csv,officefloor.csv,toped.csv,customsagetv.csv,roolo.csv,xreal.csv,glas.csv,jas.csv,primefaces.csv
adaptagrams.csv,0.0,0.57,0.5,0.11,0.18,0.22,0.34,0.08,0.16,0.44,0.09,0.11,0.25,0.04,0.15,0.04
customsagetv.csv,0.0,0.11,0.0,0.01,0.18,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.03,0.0,0.02,0.07
glas.csv,0.67,0.86,0.5,0.36,0.45,0.33,0.45,0.42,0.59,0.44,0.36,0.51,0.45,0.0,0.49,0.52
intact.csv,0.75,1.0,1.0,0.0,1.0,0.44,0.9,0.5,0.69,1.0,0.77,0.84,0.54,0.55,0.6,1.0
japano.csv,0.83,0.86,1.0,0.75,0.18,0.0,0.86,0.85,0.62,1.0,0.98,0.65,0.91,0.95,0.95,0.85
jas.csv,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.06,0.01,0.0,0.0,0.03,0.01,0.0,0.0,0.04
lazarus-ccr.csv,0.54,0.0,0.38,0.66,0.64,0.56,0.55,0.69,0.38,0.67,0.45,0.35,0.61,0.6,0.28,0.04
officefloor.csv,0.67,0.54,0.38,0.34,0.91,0.78,0.86,0.69,0.0,0.22,0.36,0.7,0.48,0.76,0.04,0.48
primefaces.csv,0.92,0.11,1.0,0.79,0.73,0.78,0.93,0.9,0.69,0.78,0.75,0.78,0.88,1.0,0.63,0.04
pustefix.csv,0.17,0.46,0.12,0.27,0.73,0.33,0.34,0.0,0.57,0.33,0.5,0.54,0.16,0.07,0.38,0.59
red5.csv,0.54,0.25,0.25,0.38,0.27,0.22,0.0,0.23,0.59,0.33,0.45,0.43,0.2,0.15,0.13,0.22
redshell.csv,1.0,0.75,0.12,0.77,0.27,0.33,0.83,0.68,0.65,0.56,0.41,0.27,0.49,1.0,0.55,0.44
rohxel.csv,0.5,0.75,0.62,0.66,0.0,0.44,0.28,0.6,0.31,0.56,0.61,0.46,0.45,0.65,0.36,0.81
roolo.csv,0.29,0.18,0.12,0.16,0.09,0.0,0.14,0.1,0.31,0.33,0.11,0.03,0.19,0.04,0.41,0.3
toped.csv,0.79,0.21,0.88,0.23,0.09,0.22,0.45,0.19,0.38,0.11,0.09,0.32,0.77,0.36,0.2,0.04
xreal.csv,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.03,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0
