,gpsmid.csv,mob-sen-plat.csv,k3d.csv,encog-cs.csv,flexpay.csv,m-a-d-n-e-s-s.csv,fido.csv,v8.csv,ninject.csv,fluent-nhibernate.csv,columba.csv,geochat.csv,uface.csv,cme.csv
cme.csv,0.98,1.0,0.97,1.0,0.96,1.0,1.0,0.98,1.0,1.0,0.97,0.88,1.0,0.02
columba.csv,0.57,0.46,0.5,0.59,0.62,0.48,0.75,0.63,0.41,0.56,0.43,0.62,0.43,0.58
encog-cs.csv,0.82,0.87,0.73,0.46,0.89,0.72,0.92,0.8,0.65,0.98,0.88,0.74,0.98,0.79
fido.csv,0.9,1.0,1.0,1.0,0.94,1.0,0.13,0.98,1.0,0.77,0.87,1.0,0.58,1.0
flexpay.csv,0.73,0.89,0.84,0.78,0.56,0.86,0.87,0.79,0.87,0.83,0.64,0.54,0.52,0.62
fluent-nhibernate.csv,0.45,0.71,0.56,0.61,0.62,0.68,0.79,0.8,0.81,0.21,0.67,0.75,0.7,1.01
geochat.csv,0.89,0.99,0.96,0.97,0.82,1.0,1.01,0.81,1.0,0.94,0.71,0.48,0.97,1.0
gpsmid.csv,0.34,0.79,0.92,0.63,0.65,0.65,0.5,0.85,0.65,0.41,0.54,0.93,0.52,0.56
k3d.csv,0.98,0.91,0.22,0.88,0.92,0.79,1.03,0.9,1.01,0.66,0.79,0.83,0.74,1.0
m-a-d-n-e-s-s.csv,0.78,0.94,0.87,0.89,0.75,0.4,1.01,0.75,0.81,0.52,0.7,0.83,0.8,0.85
mob-sen-plat.csv,0.74,0.42,0.48,0.72,0.94,0.52,0.88,0.81,0.83,0.72,0.5,0.74,0.68,0.9
ninject.csv,0.65,0.94,0.77,0.85,0.73,0.69,0.79,0.58,0.13,0.71,0.79,0.75,0.74,0.88
uface.csv,0.58,0.87,0.9,0.81,0.72,0.97,0.83,1.01,0.78,0.67,0.54,0.93,0.09,0.85
v8.csv,0.79,0.89,0.77,0.93,0.73,0.86,0.73,0.16,0.94,0.49,0.76,0.66,0.79,1.03
