,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.69,0.79,0.53,0.68,0.97,0.02,0.17,0.5,0.57,0.19
fritzing.csv,0.92,0.49,0.71,0.51,0.96,0.01,0.33,0.41,0.53,0.29
jlinalg.csv,0.95,0.31,0.36,0.39,0.96,0.01,0.16,0.36,0.41,0.22
knowledge.csv,0.95,0.42,0.55,0.42,1.0,0.01,0.13,0.32,0.56,0.28
massiv.csv,1.0,0.75,0.66,0.0,0.0,0.2,0.0,0.5,0.0,0.35
oscarmcmaster.csv,0.87,0.63,0.71,0.58,0.98,0.01,0.33,0.36,0.62,0.32
playerstage.csv,0.96,0.45,0.59,0.67,0.98,0.01,0.25,0.36,0.47,0.32
quarkplusplus.csv,0.9,0.54,0.54,0.44,0.98,0.01,0.1,0.3,0.59,0.22
rtrt-on-gpu.csv,0.95,0.29,0.45,0.36,0.89,0.0,0.46,0.1,0.34,0.18
superwaba.csv,0.89,0.62,0.59,0.61,0.98,0.01,0.09,0.38,0.58,0.25
