,quarkplusplus.csv,multitude.csv,ngl.csv,qmmp.csv
multitude.csv,0.71,0.69,0.77,0.6
ngl.csv,0.75,0.88,0.64,0.84
qmmp.csv,0.54,0.6,0.6,0.65
quarkplusplus.csv,0.58,0.77,0.74,0.7
