,gtad.csv,wgs-assembler.csv,nh3d.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,tokratan.csv,mvnforum.csv,myfaces.csv,ogrehg.csv,m-a-d-n-e-s-s.csv,lcfizvtop.csv,gusanos.csv,pydev.csv,mediaportal.csv,free-evolution.csv,pnotepad.csv,cme.csv
blogentis.csv,0.51,0.61,1.01,0.8,0.92,0.0,0.79,1.03,1.0,0.88,0.79,0.77,0.82,0.92,0.88,0.72,0.66,0.84,0.62,0.69
cme.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
free-evolution.csv,0.6,0.84,0.51,0.88,0.66,0.77,0.94,0.49,0.71,0.62,0.54,0.65,0.8,1.0,0.8,0.75,0.66,0.03,0.91,1.03
gtad.csv,0.0,0.95,1.0,1.0,0.82,1.0,0.95,1.0,1.0,1.0,0.81,0.98,1.0,1.0,0.97,0.89,0.86,1.0,1.0,1.0
gusanos.csv,0.48,0.82,0.83,0.4,0.54,0.69,0.83,0.66,0.64,0.65,0.52,0.58,0.58,0.65,0.05,0.8,0.65,0.62,0.69,0.74
kaffeine.csv,0.96,1.0,1.0,0.02,0.59,0.64,1.04,0.99,0.73,0.67,0.84,0.97,1.0,1.0,0.9,0.68,0.97,0.98,1.0,0.92
lcfizvtop.csv,0.57,0.93,0.97,0.76,1.07,0.73,0.84,0.56,0.85,0.85,0.69,0.69,0.87,0.0,0.63,0.77,0.63,0.82,0.64,0.67
m-a-d-n-e-s-s.csv,0.58,0.71,1.0,0.78,0.61,0.66,0.84,0.49,0.57,0.88,0.67,0.56,0.08,0.69,0.84,0.72,0.7,0.63,0.69,0.79
m-m-m.csv,0.75,0.73,0.78,0.76,0.83,0.58,0.02,1.05,0.59,0.6,0.93,0.77,0.55,0.81,0.84,0.47,0.67,0.66,0.57,1.31
mediaportal.csv,1.0,0.88,0.75,1.0,0.99,0.94,0.91,1.01,0.94,0.83,0.88,0.92,0.96,1.0,0.99,0.94,0.06,1.0,1.0,1.03
mvnforum.csv,0.52,0.68,0.81,0.85,1.01,0.85,0.85,0.77,0.7,0.06,0.61,0.76,0.86,0.84,0.73,0.79,0.65,0.67,0.83,0.67
myfaces.csv,1.01,0.61,0.82,0.82,0.96,0.77,0.97,0.81,1.06,0.69,0.06,0.79,0.65,0.73,0.68,0.9,0.77,0.82,0.88,0.62
nh3d.csv,1.0,1.0,0.25,1.0,1.0,0.96,1.0,0.9,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.96,1.0
ogrehg.csv,0.38,0.51,0.57,0.5,0.51,0.85,0.92,0.64,0.66,0.72,0.72,0.01,0.59,0.62,0.85,0.63,0.68,0.69,0.73,0.67
pnotepad.csv,0.87,0.92,0.75,0.48,0.65,0.47,0.64,0.89,0.65,0.62,0.83,0.64,0.75,0.69,0.93,0.62,0.79,0.62,0.02,0.87
pydev.csv,1.0,0.78,0.89,0.96,0.92,0.76,0.79,0.85,0.81,0.95,0.65,0.73,0.88,1.0,0.85,0.06,0.6,0.85,0.84,0.43
sarasvati.csv,0.52,0.75,0.28,0.87,0.18,1.0,0.88,0.68,0.93,0.95,0.92,0.78,0.79,0.95,0.88,0.89,0.81,0.91,0.79,1.0
taokgame.csv,1.0,1.0,1.0,0.96,1.01,0.93,0.98,0.0,0.81,0.97,0.92,0.79,1.0,1.0,0.91,0.86,0.9,0.85,0.92,1.0
tokratan.csv,1.01,0.74,0.78,0.84,1.0,0.92,0.96,0.92,0.13,0.74,0.86,0.8,0.81,0.91,0.91,0.97,0.93,1.0,0.81,0.83
wgs-assembler.csv,0.54,0.03,0.67,0.9,0.58,0.8,0.87,0.83,0.82,0.85,0.58,0.72,0.77,1.0,0.82,0.6,0.6,0.7,0.92,0.37
