,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv
abbot.csv,0.85,0.67,0.59,0.78,0.77,0.86,0.83,0.0
jicarilla.csv,0.89,1.0,0.05,0.96,1.0,0.9,0.95,0.78
optalgtoolkit.csv,0.61,0.77,0.99,0.73,0.61,0.0,0.86,0.7
ossim.csv,0.93,1.0,1.0,0.06,1.0,1.0,0.97,1.0
projectts.csv,0.5,1.0,0.71,0.59,0.78,0.92,0.07,0.83
sabbu.csv,0.05,0.67,0.98,0.57,0.6,0.88,0.69,0.76
vxl.csv,0.98,0.14,0.78,0.93,1.01,0.9,0.89,1.0
zact.csv,0.97,1.0,1.0,1.0,0.0,0.76,1.0,0.56
