,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv
bochs.csv,0.46,0.58,0.65,0.57,0.72
encog-java.csv,0.71,0.13,0.04,0.26,0.26
h2database.csv,0.62,0.68,0.17,0.67,0.24
jaql.csv,0.68,0.63,0.27,0.65,0.39
raven-monitoring.csv,0.56,0.49,0.65,0.41,0.09
