,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,xcf.csv,web-cat.csv
cleartk.csv,1.0,0.61,0.55,1.0,0.54,0.47,0.72,0.68,0.67,0.59,0.82,0.79,1.0,0.92,0.94,0.53,0.84
encog-cs.csv,1.0,0.8,0.77,0.71,0.82,0.8,0.82,0.7,0.97,0.5,0.53,0.93,0.0,0.72,0.78,0.69,0.58
extprosys.csv,1.0,0.82,0.98,0.81,0.82,0.8,0.74,0.77,0.8,0.95,0.63,0.78,0.67,0.71,0.94,0.62,0.47
ibatisdb.csv,0.0,0.16,0.13,0.23,0.39,0.3,0.23,0.29,0.08,0.45,0.16,0.2,0.33,0.12,0.97,0.25,0.32
intact.csv,0.0,0.55,0.23,0.33,0.32,0.9,0.46,0.33,0.15,0.18,0.55,0.16,0.0,0.28,0.03,0.38,0.05
japano.csv,1.0,0.92,0.94,0.84,0.89,0.73,0.82,1.0,0.68,0.82,1.0,0.94,1.0,0.96,1.0,0.88,0.84
lockss.csv,0.0,0.04,0.0,0.02,0.07,0.07,0.13,0.06,0.06,0.95,0.03,0.03,0.0,0.06,0.08,0.09,0.05
ofbiz.csv,0.0,0.35,0.36,0.17,0.21,0.37,0.03,0.07,0.18,0.23,0.24,0.29,0.0,0.98,0.61,0.31,0.58
officefloor.csv,0.0,0.53,0.68,0.86,0.54,0.63,0.79,0.86,0.12,0.41,0.95,0.71,0.67,0.03,0.83,0.91,0.58
opennms.csv,0.0,0.12,0.0,0.18,0.89,0.1,0.33,0.21,0.18,0.23,0.13,0.07,0.0,0.11,0.06,0.06,0.0
papertoolkit.csv,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,1.0,0.0,0.0,0.0,0.0
rohxel.csv,1.0,0.8,0.34,0.83,0.75,0.83,0.97,0.8,0.55,0.73,0.58,0.68,1.0,0.73,0.83,0.75,0.74
sevenupdate.csv,1.0,1.0,1.0,0.86,0.68,0.77,0.74,0.66,0.97,1.0,0.97,1.0,1.0,0.83,0.42,0.62,0.89
web-cat.csv,0.0,0.37,0.21,0.38,0.21,0.17,0.41,0.32,0.2,0.09,0.05,0.33,0.33,0.05,0.14,0.19,1.0
xcf.csv,0.0,0.69,0.57,0.24,0.36,0.6,0.69,0.52,0.38,0.45,0.66,0.53,1.0,0.46,0.61,0.97,0.63
