,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.67,0.8,0.55,0.57,0.5,0.95,0.72,0.56,0.62,0.54,0.79
ikvm.csv,0.62,0.57,0.4,0.89,0.83,0.66,0.48,0.46,0.53,0.65,0.5
libtorrent.csv,0.4,0.4,0.37,0.46,0.35,0.38,0.37,0.47,0.46,0.3,0.42
mcmc-jags.csv,0.47,0.4,0.47,0.8,0.67,0.65,0.46,0.52,0.59,0.49,0.55
moast.csv,0.47,0.47,0.36,0.45,0.33,0.73,0.37,0.49,0.53,0.31,0.42
olap-navigator.csv,0.53,0.5,0.43,0.65,0.44,0.5,0.43,0.47,0.51,0.34,0.4
pidgin.csv,0.45,0.37,0.38,0.54,0.38,0.44,0.42,0.46,0.5,0.33,0.46
salasaga.csv,0.51,0.44,0.51,0.48,0.48,0.49,0.39,0.56,0.92,0.32,0.56
sepgsql.csv,0.88,0.0,0.96,0.5,0.92,0.0,0.0,0.0,0.0,0.95,0.0
sigil.csv,0.78,0.75,0.79,0.75,0.49,0.57,0.71,0.48,0.56,0.51,0.43
xtreemfs.csv,0.45,0.41,0.97,0.0,0.0,0.8,0.92,0.5,0.0,0.34,0.4
