,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.62,0.38,0.14,0.32,0.63,0.97,0.45,0.65,0.26,0.71,0.53
ikvm.csv,0.57,0.98,0.08,0.24,0.35,0.12,0.69,0.74,0.25,0.5,0.72
libtorrent.csv,0.77,0.53,0.11,0.42,0.82,0.3,0.98,0.71,0.33,0.92,0.76
mcmc-jags.csv,0.67,0.57,0.1,1.0,0.46,0.27,0.72,0.7,0.38,0.71,0.39
moast.csv,0.75,0.5,0.11,0.4,0.83,0.62,0.86,0.69,0.26,0.89,1.0
olap-navigator.csv,0.99,0.52,0.11,0.63,0.73,0.48,0.75,0.83,0.32,0.89,0.95
pidgin.csv,0.6,0.58,0.11,0.44,0.98,0.28,0.76,0.72,0.29,0.9,0.72
salasaga.csv,0.7,0.65,0.08,0.42,0.67,0.3,0.85,0.57,0.94,0.88,0.14
sepgsql.csv,0.17,0.0,0.94,0.24,0.11,0.0,0.0,0.04,0.0,0.11,0.0
sigil.csv,0.46,0.21,0.13,0.11,0.64,0.21,0.43,0.98,0.26,0.71,0.96
xtreemfs.csv,0.65,0.55,0.15,0.12,0.0,0.32,0.33,0.07,0.0,1.0,0.96
