,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.44,0.27,0.37,0.79,0.34,0.0,0.33,0.54,0.29,0.21,0.62
ikvm.csv,0.59,0.0,0.6,0.36,0.08,0.3,0.39,0.86,1.0,0.39,0.38
libtorrent.csv,0.78,0.83,0.67,0.45,0.55,0.62,0.0,0.46,0.64,0.9,0.72
mcmc-jags.csv,0.19,0.87,0.74,0.0,0.2,0.51,0.5,0.46,0.18,0.48,0.72
moast.csv,0.89,0.77,0.77,0.98,0.56,0.1,0.89,0.89,1.0,0.85,0.0
olap-navigator.csv,0.0,0.5,0.69,0.21,0.3,0.28,0.17,0.35,0.46,0.62,0.69
pidgin.csv,0.41,0.8,0.66,0.4,0.05,0.56,0.33,0.51,0.85,0.69,0.62
salasaga.csv,1.0,0.73,0.78,0.9,0.92,0.97,1.0,0.95,0.0,0.95,0.97
sepgsql.csv,0.07,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
sigil.csv,0.0,0.4,0.39,0.07,0.39,0.58,0.06,0.03,0.38,0.21,0.21
xtreemfs.csv,0.44,0.5,0.06,0.0,0.0,0.01,0.22,0.0,0.0,0.03,0.66
