,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.54,0.32,0.67,0.6,0.52,0.95,0.31,0.67,0.39,0.57,0.38
ikvm.csv,0.51,0.95,0.56,0.27,0.22,0.15,0.57,0.94,0.93,0.36,0.59
libtorrent.csv,0.84,0.77,0.89,0.6,0.85,0.65,0.97,0.73,0.89,0.99,0.67
mcmc-jags.csv,0.54,0.86,0.85,1.0,0.33,0.5,0.61,0.71,0.46,0.6,0.27
moast.csv,0.84,0.68,0.96,0.93,0.87,0.65,0.89,0.87,1.0,0.94,1.0
olap-navigator.csv,0.98,0.59,0.93,0.73,0.64,0.7,0.62,0.88,0.68,0.9,0.98
pidgin.csv,0.51,0.86,0.89,0.6,0.99,0.55,0.65,0.77,1.0,0.92,0.61
salasaga.csv,0.77,0.95,0.74,0.93,0.68,0.9,0.88,0.67,0.89,0.93,0.09
sepgsql.csv,0.1,0.0,0.89,0.13,0.06,0.0,0.0,0.02,0.0,0.06,0.0
sigil.csv,0.3,0.18,0.63,0.07,0.54,0.4,0.28,0.98,0.46,0.57,0.95
xtreemfs.csv,0.57,0.64,0.19,0.07,0.0,0.2,0.21,0.04,0.0,1.0,1.0
