,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.0,0.0,20.0,0.0,0.0,0.0,0.0,5.0,14.0,4.0,2.0
ikvm.csv,0.0,0.0,48.0,2.0,0.0,0.0,1.0,7.0,73.0,3.0,0.0
libtorrent.csv,0.0,0.0,5.0,1.0,0.0,1.0,0.0,4.0,19.0,4.0,0.0
mcmc-jags.csv,0.0,2.0,44.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0
moast.csv,0.0,2.0,3.0,0.0,0.0,1.0,1.0,9.0,61.0,3.0,0.0
olap-navigator.csv,0.0,0.0,25.0,0.0,0.0,0.0,0.0,3.0,8.0,1.0,0.0
pidgin.csv,0.0,1.0,8.0,0.0,0.0,0.0,0.0,6.0,39.0,3.0,0.0
salasaga.csv,0.0,0.0,53.0,0.0,2.0,2.0,1.0,9.0,0.0,6.0,11.0
sepgsql.csv,0.0,51.0,0.0,0.0,0.0,105.0,114.0,0.0,184.0,0.0,257.0
sigil.csv,0.0,2.0,40.0,0.0,0.0,2.0,0.0,0.0,12.0,2.0,0.0
xtreemfs.csv,0.0,0.0,21.0,0.0,226.0,0.0,0.0,0.0,184.0,0.0,2.0
