,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.22,0.41,0.05,0.02,0.48,0.05,0.15,0.07,0.07,0.15
ffigo.csv,0.31,0.58,0.08,0.48,0.15,0.15,0.46,0.29,0.0,0.12
foursquared.csv,0.26,0.12,0.05,0.0,0.0,0.0,0.02,0.0,0.0,0.02
gebr.csv,0.79,0.95,0.03,0.87,0.7,0.79,0.76,0.79,0.82,0.49
ildjit.csv,0.0,0.06,0.0,0.07,0.04,0.03,0.03,0.04,0.02,0.02
jfreereport.csv,0.26,0.0,0.71,0.41,0.15,0.72,0.4,0.2,0.3,0.25
kml.csv,0.4,0.43,0.05,0.26,0.43,0.0,0.25,0.23,0.27,0.14
ng4j.csv,0.56,0.26,0.58,0.09,0.26,0.36,0.34,0.16,0.02,0.0
pcsx2.csv,0.61,0.34,0.29,0.15,0.26,0.85,0.01,0.22,0.25,0.25
wxjs.csv,0.0,0.01,0.0,0.04,0.04,0.03,0.03,0.0,0.14,0.0
