,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.34,0.62,0.08,0.95,0.54,0.36,0.26,0.0,0.18,0.35
ffigo.csv,0.14,0.58,0.41,0.55,0.33,0.36,0.34,0.0,0.97,0.25
foursquared.csv,0.1,0.22,0.16,0.05,0.96,0.03,0.14,0.0,0.0,0.15
gebr.csv,0.72,0.98,0.98,1.0,0.79,0.97,0.91,0.88,0.91,0.8
ildjit.csv,0.93,0.07,0.06,0.0,0.04,0.08,0.04,0.0,0.03,0.0
jfreereport.csv,0.62,0.87,0.35,0.45,0.25,0.31,0.21,0.0,0.25,0.3
kml.csv,0.17,0.66,0.37,0.75,0.88,0.97,0.52,0.38,0.47,0.5
ng4j.csv,0.21,0.43,0.6,0.2,0.67,0.53,0.46,0.0,0.2,1.0
pcsx2.csv,0.62,0.54,0.68,0.25,0.46,0.64,0.98,0.0,0.24,0.55
wxjs.csv,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0
