,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.69,0.56,0.92,0.05,0.66,0.64,0.75,1.0,0.82,0.67
ffigo.csv,0.92,0.71,0.6,0.66,0.68,0.66,0.81,1.04,0.03,0.76
foursquared.csv,0.93,0.79,0.84,0.95,0.04,0.97,0.86,1.0,1.0,0.85
gebr.csv,0.84,0.95,0.03,0.87,0.73,0.8,0.77,0.8,0.82,0.53
ildjit.csv,0.07,0.93,0.94,1.0,0.96,0.92,0.96,1.0,0.97,1.0
jfreereport.csv,0.46,0.13,0.97,0.69,0.77,1.0,0.88,1.02,0.81,0.74
kml.csv,0.92,0.54,0.63,0.36,0.45,0.03,0.54,0.67,0.59,0.52
ng4j.csv,0.97,0.63,0.7,0.8,0.42,0.59,0.64,1.01,0.8,0.0
pcsx2.csv,0.72,0.57,0.43,0.77,0.6,0.92,0.02,1.02,0.8,0.52
wxjs.csv,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
