,baadengine.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,jaxen.csv,bnetd.csv,vars-redux.csv,wishmaster.csv,motu.csv,all-plasm.csv,impala.csv,xreal.csv,jparsec.csv
all-plasm.csv,0.92,0.97,0.03,0.39,0.57,0.17,0.73,0.47,0.22,0.24,0.95,0.08,0.08,0.31
baadengine.csv,0.99,0.98,0.01,0.35,0.31,0.06,0.58,0.43,0.21,0.26,0.39,0.11,0.03,0.45
bnetd.csv,0.74,0.97,0.02,0.27,0.26,0.07,0.98,0.55,0.19,0.36,0.48,0.15,0.05,0.44
impala.csv,0.78,1.0,0.0,0.28,0.2,0.0,0.53,0.1,0.19,0.05,0.14,0.96,0.05,0.47
jaxen.csv,0.86,1.0,0.14,0.33,0.5,0.83,0.88,0.56,0.0,0.24,0.8,0.0,0.0,1.0
jgameai.csv,1.0,1.0,0.0,0.96,0.31,0.0,1.0,0.28,0.33,0.0,0.57,0.06,0.0,0.44
jparsec.csv,0.82,0.97,0.02,0.33,0.3,0.08,0.5,0.42,0.2,0.24,0.41,0.11,0.03,0.98
motu.csv,0.92,1.0,0.0,0.29,0.67,0.17,1.0,0.67,0.0,1.0,0.57,0.2,0.0,0.2
vars-redux.csv,0.61,0.95,0.05,0.23,0.55,0.07,0.75,0.96,0.25,0.41,0.58,0.17,0.0,0.35
werx.csv,0.77,1.0,0.01,0.29,0.31,0.06,0.53,0.41,0.19,0.22,0.4,0.12,0.03,0.4
wishmaster.csv,0.86,1.0,0.0,0.37,0.0,0.0,1.0,0.42,1.0,0.0,0.33,0.28,0.03,0.19
xreal.csv,0.5,0.0,0.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0
zealos.csv,0.65,0.97,0.03,0.35,0.97,0.06,0.62,0.48,0.22,0.31,0.45,0.08,0.03,0.35
