,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv
aufs.csv,0.27,0.69,0.29,0.42,0.31,0.96,0.1,0.51,0.25,0.31,0.27,0.56,0.24
bdbbasic.csv,0.61,0.71,0.75,0.53,0.55,0.61,0.49,0.53,0.91,0.5,0.59,0.62,0.53
echongl.csv,0.63,0.27,0.65,0.62,0.44,0.34,0.35,0.26,0.57,0.99,0.3,0.66,0.54
etherboot.csv,0.46,0.17,0.29,0.41,0.96,0.17,0.5,0.39,0.71,0.32,0.56,0.61,0.28
freebios.csv,0.58,0.41,0.28,0.43,0.5,0.48,1.0,0.47,0.66,0.4,0.62,0.54,0.49
gebr.csv,0.44,0.36,0.3,0.55,0.63,0.58,0.45,0.93,0.6,0.29,0.66,0.51,0.57
gnukeda.csv,0.6,0.54,0.51,0.99,0.59,0.48,0.4,0.65,0.41,0.47,0.7,0.58,0.6
google-gears.csv,0.69,0.79,0.75,0.49,0.67,0.38,0.38,0.65,0.69,0.13,0.5,0.47,0.98
jnode.csv,0.12,0.24,0.84,0.16,0.11,0.0,0.55,0.22,0.19,0.06,0.07,0.25,0.11
openmeetings.csv,0.52,0.96,0.43,0.33,0.36,0.5,0.19,0.35,0.42,0.35,0.45,0.42,0.3
pgui.csv,0.36,0.65,0.29,0.27,0.17,0.22,0.17,0.2,0.25,0.38,0.95,0.3,0.37
tradelink.csv,0.48,0.41,0.07,0.32,0.4,0.59,0.37,0.44,0.36,0.49,0.53,0.96,0.45
wxcrp.csv,1.0,0.53,0.66,0.3,0.27,0.28,0.0,0.24,0.3,0.25,0.48,0.66,0.24
