,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,l2j.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.45,0.17,0.68,1.0,0.6,0.53,0.5,0.41,0.32,0.09,0.16,0.56,0.54,0.51,0.72,0.25
betoffice.csv,0.33,0.29,0.06,0.68,0.51,0.34,0.28,0.91,0.23,0.28,0.38,0.44,0.53,0.51,0.64,0.39
bionote.csv,0.2,0.0,0.18,0.0,0.09,0.11,0.06,0.0,0.29,0.01,0.04,0.04,0.9,0.06,0.09,0.07
bnetd.csv,0.66,0.2,0.47,0.74,0.57,0.55,0.14,0.54,0.64,0.37,0.98,0.0,0.8,0.63,0.57,0.71
elvishrayrenderer.csv,0.58,0.58,0.42,0.54,0.5,0.7,0.41,0.41,0.6,0.38,0.47,0.49,0.69,0.43,0.58,0.99
emisview.csv,0.15,0.0,0.0,0.48,0.29,1.0,0.09,0.11,0.15,0.06,0.0,0.26,0.43,0.06,0.12,0.11
hazelcast.csv,0.48,0.68,0.62,0.67,1.0,0.42,0.44,0.56,0.37,0.59,0.68,0.4,0.45,0.68,0.73,0.63
jitterbit.csv,0.41,0.59,0.44,0.27,0.41,0.3,0.09,0.28,0.97,0.1,0.48,0.12,0.29,0.22,0.51,0.36
jppf-project.csv,0.55,0.0,0.39,0.09,0.72,0.17,0.56,0.27,0.43,0.0,0.0,1.0,0.52,0.52,0.61,0.0
l2j.csv,0.57,0.61,0.12,0.53,0.82,0.51,0.41,0.65,0.46,0.62,0.56,0.68,0.54,0.98,0.57,0.6
megasquirtavr.csv,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.47,0.55,0.0,0.0,0.0,0.0,0.27,0.27,0.0
stajistics.csv,0.51,0.33,0.32,0.62,0.5,0.6,0.26,0.11,0.35,0.29,0.47,0.0,0.41,0.65,0.94,0.61
trackit.csv,0.45,0.2,0.66,0.42,0.51,0.25,1.0,0.54,0.49,0.59,0.23,0.58,0.28,0.51,0.39,0.43
wxlua.csv,0.28,0.21,0.46,0.47,0.0,0.2,0.55,0.5,0.53,0.97,0.31,0.52,0.42,0.46,0.49,0.54
x4x.csv,0.98,0.6,0.29,0.69,0.5,0.62,0.53,0.49,0.4,0.24,0.54,0.38,0.54,0.42,0.54,0.57
xharbour.csv,0.0,0.99,0.66,0.55,0.0,0.47,0.56,0.45,0.3,0.54,0.0,0.35,0.38,0.0,0.13,0.35
