,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,l2j.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.68,0.92,0.55,0.59,0.47,0.42,0.63,0.64,0.73,0.86,0.92,0.38,0.77,0.59,0.56,0.9
betoffice.csv,0.69,0.97,0.67,0.58,0.54,0.78,0.86,0.63,0.83,0.96,0.59,0.59,0.67,0.57,0.61,0.7
bionote.csv,0.89,0.0,0.86,0.5,0.8,0.67,0.5,0.0,0.98,0.0,0.0,0.67,0.86,0.93,0.8,0.5
bnetd.csv,0.47,0.4,0.5,0.38,0.46,0.4,0.82,0.58,0.51,0.58,0.5,0.41,0.45,0.44,0.61,0.36
elvishrayrenderer.csv,0.38,0.41,0.81,0.47,0.55,0.49,0.86,0.57,0.62,0.53,0.79,0.37,0.55,0.57,0.71,0.43
emisview.csv,0.83,0.0,0.0,0.54,0.71,0.65,0.8,0.9,0.98,0.8,0.0,0.7,0.73,0.91,0.89,0.67
hazelcast.csv,0.31,0.31,0.45,0.33,0.35,0.28,0.37,0.35,0.34,0.39,0.37,0.3,0.37,0.36,0.35,0.31
jitterbit.csv,0.46,0.43,0.65,0.91,0.56,0.67,0.75,0.82,0.72,0.88,0.48,0.89,0.88,0.75,0.64,0.69
jppf-project.csv,0.36,0.39,0.95,0.4,0.37,0.33,0.44,0.41,0.41,0.5,0.42,0.35,0.43,0.67,0.42,0.37
l2j.csv,0.36,0.37,0.8,0.43,0.31,0.3,0.46,0.46,0.44,0.5,0.5,0.33,0.44,0.45,0.42,0.32
megasquirtavr.csv,0.33,0.39,0.79,0.4,0.41,0.3,0.39,0.4,0.41,0.5,0.42,0.33,0.37,0.39,0.44,0.37
stajistics.csv,0.46,0.93,0.91,0.44,0.52,0.56,0.85,0.67,0.83,0.72,0.69,0.38,0.59,0.5,0.61,0.58
trackit.csv,0.38,0.43,0.53,0.52,0.64,0.68,0.54,0.52,0.48,0.59,0.46,0.47,0.72,0.53,0.65,0.48
wxlua.csv,0.42,0.41,0.59,0.44,0.45,0.94,0.44,0.49,0.64,0.51,0.48,0.63,0.44,0.45,0.53,0.35
x4x.csv,0.39,0.38,0.94,0.38,0.46,0.34,0.48,0.49,0.51,0.71,0.54,0.35,0.42,0.4,0.56,0.38
xharbour.csv,0.34,0.39,0.5,0.47,0.41,0.38,0.44,0.44,0.38,0.48,0.43,0.43,0.43,0.39,0.46,0.44
