,triplea.csv,mclient-mume.csv,jython.csv,freelords.csv,jmonkeyengine.csv,aufs.csv,toped.csv,calcubetimer.csv,st-filteredstatistics.csv,aten.csv,papertoolkit.csv,primefaces.csv,chaosrts.csv,web-cat.csv,emono.csv
aufs.csv,0.39,0.22,0.44,0.22,0.29,0.99,0.45,0.42,0.62,0.45,0.0,0.3,0.47,0.42,0.09
calcubetimer.csv,0.74,0.69,0.23,0.79,0.39,0.48,0.92,1.0,0.84,1.0,0.1,0.64,0.93,0.54,0.79
chaosrts.csv,0.73,0.68,0.23,0.8,0.43,0.51,0.89,0.78,0.83,0.97,0.05,0.71,0.98,0.55,0.78
emono.csv,0.54,0.45,0.6,0.44,0.39,0.43,0.41,0.7,0.71,0.57,0.0,0.57,0.66,0.39,0.97
freelords.csv,0.52,0.74,0.26,0.98,0.3,0.0,0.67,0.39,0.48,0.83,0.16,0.51,0.83,0.55,0.53
jmonkeyengine.csv,0.11,0.11,0.13,0.22,0.97,0.46,0.31,0.22,0.33,0.25,0.0,0.05,0.28,0.22,0.11
jython.csv,0.53,0.41,1.0,0.64,0.48,0.29,0.69,0.78,0.43,0.84,0.08,0.52,0.72,0.45,0.62
mclient-mume.csv,0.24,0.97,0.31,0.55,0.0,0.0,0.6,0.28,0.56,0.65,0.2,0.39,0.47,0.29,0.48
papertoolkit.csv,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,0.0,0.0,0.1,0.0
primefaces.csv,0.44,0.42,0.12,0.64,0.41,0.34,0.73,0.47,0.45,0.9,0.15,0.99,0.68,0.6,0.64
st-filteredstatistics.csv,0.67,0.59,0.21,0.71,0.42,0.48,0.89,0.74,1.0,0.76,0.1,0.39,0.82,0.49,0.62
toped.csv,0.42,0.74,0.55,0.26,0.51,0.47,1.0,0.51,0.58,0.84,0.14,0.41,0.48,0.54,0.79
triplea.csv,0.98,0.53,0.19,0.64,0.43,0.42,0.82,0.75,0.69,0.71,0.14,0.41,0.55,0.46,0.59
web-cat.csv,0.42,0.6,0.28,0.32,0.35,0.05,0.66,0.35,0.44,0.88,0.05,0.39,0.4,1.0,0.5
