,nullc.csv,superwaba.csv,sylpheed-claws.csv,flexpay.csv,bacnet.csv,pgui.csv,lufa-lib.csv,xqilla.csv,bibletime.csv
bacnet.csv,0.32,0.73,0.65,0.58,0.64,0.61,0.4,0.84,0.62
bibletime.csv,0.53,0.55,0.45,0.56,0.27,0.27,0.17,0.47,0.73
flexpay.csv,0.27,0.26,0.05,0.5,0.54,0.18,0.56,0.0,0.4
lufa-lib.csv,0.61,0.35,0.52,0.59,0.45,0.47,0.67,0.0,0.38
nullc.csv,0.69,0.35,0.42,0.24,0.56,0.59,0.5,0.09,0.66
pgui.csv,0.77,0.57,0.0,0.29,0.05,0.72,0.0,0.0,0.44
superwaba.csv,0.57,0.7,0.65,0.57,0.52,0.64,0.32,0.78,0.69
sylpheed-claws.csv,0.0,0.65,0.71,0.54,0.0,0.55,0.0,0.13,0.0
xqilla.csv,0.31,0.31,0.23,0.19,0.33,0.16,0.21,0.99,0.17
