,nullc.csv,superwaba.csv,sylpheed-claws.csv,flexpay.csv,bacnet.csv,pgui.csv,lufa-lib.csv,xqilla.csv,bibletime.csv
bacnet.csv,0.82,0.6,0.65,0.3,0.55,0.43,0.39,0.1,0.72
bibletime.csv,0.64,0.45,0.65,0.3,0.51,0.44,0.57,0.06,0.81
flexpay.csv,0.64,0.29,0.07,0.34,0.44,0.2,0.52,0.0,0.52
lufa-lib.csv,0.79,0.41,0.5,0.3,0.36,0.37,0.64,0.0,0.49
nullc.csv,0.78,0.51,0.66,0.28,0.49,0.45,0.5,0.05,0.76
pgui.csv,0.88,0.47,0.0,0.26,0.5,0.59,0.59,0.0,0.89
superwaba.csv,0.68,0.65,0.63,0.31,0.44,0.47,0.35,0.08,0.84
sylpheed-claws.csv,0.9,0.56,0.7,0.3,0.51,0.43,0.6,0.05,0.9
xqilla.csv,0.41,0.25,0.3,0.15,0.37,0.14,0.2,0.46,0.23
