,nug.csv,rezilla.csv,badtrinity-zero.csv,fltk.csv,betoffice.csv,xmemcached.csv,exordium.csv,toped.csv,apertium.csv,gabel.csv,irrlicht.csv,zoolib.csv,genoviz.csv
apertium.csv,0.33,0.5,0.53,0.52,0.41,0.35,0.58,0.62,1.0,0.17,0.84,0.06,0.14
badtrinity-zero.csv,0.35,0.52,0.99,0.62,0.46,0.5,0.34,0.92,0.39,0.15,0.81,0.1,0.12
betoffice.csv,0.41,0.29,0.41,0.59,0.98,0.28,0.24,0.72,0.22,0.04,0.76,0.1,0.11
exordium.csv,1.0,0.0,0.5,0.85,0.38,0.71,1.0,0.82,0.4,0.16,0.85,0.1,0.17
fltk.csv,0.33,0.0,0.56,1.0,0.47,0.52,0.35,0.89,0.27,0.16,0.85,0.11,0.13
gabel.csv,0.0,0.0,1.0,1.0,0.36,0.33,0.0,0.0,0.0,1.0,0.0,0.0,1.0
genoviz.csv,0.0,0.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.25,1.0
irrlicht.csv,0.34,0.35,0.48,0.58,0.5,0.31,0.28,0.84,0.33,0.1,0.99,0.09,0.16
nug.csv,1.0,0.5,0.34,0.61,0.6,0.28,0.5,0.79,0.38,0.11,0.78,0.12,0.21
rezilla.csv,0.24,1.0,0.51,0.58,0.48,0.26,0.24,0.89,0.25,0.07,0.78,0.06,0.09
toped.csv,0.31,0.44,0.59,0.58,0.58,0.29,0.34,0.98,0.47,0.12,0.76,0.11,0.15
xmemcached.csv,0.5,0.12,0.51,0.81,0.52,1.0,0.34,0.82,0.26,0.12,0.79,0.13,0.2
zoolib.csv,0.5,0.5,0.3,0.68,0.0,0.56,0.35,0.87,0.13,0.27,0.75,1.0,0.25
