,nutz.csv,jajuk.csv,ossim.csv,massiv.csv,v8.csv,ngl.csv,qmmp.csv,mesa3d.csv,rcp-company-uibindings.csv
jajuk.csv,0.9,0.18,0.65,0.61,0.54,0.31,0.27,0.68,0.9
massiv.csv,0.01,0.07,0.11,0.03,0.0,0.0,0.0,0.0,0.0
mesa3d.csv,0.5,0.16,0.59,0.54,0.62,0.48,0.65,0.27,0.3
ngl.csv,0.71,0.59,0.83,0.79,0.69,0.33,0.61,0.27,0.4
nutz.csv,0.19,0.75,0.93,0.91,0.85,0.73,0.84,0.92,0.4
ossim.csv,0.06,0.12,0.28,0.2,0.0,0.23,0.19,0.28,0.4
qmmp.csv,0.39,0.38,0.48,0.51,0.69,0.34,0.19,0.74,0.7
rcp-company-uibindings.csv,0.23,0.24,0.5,0.49,0.38,0.41,0.26,0.15,0.0
v8.csv,0.43,0.47,0.37,0.56,0.08,0.73,0.66,1.0,0.3
