,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv
cleartk.csv,1.0,0.55,0.66,0.85,0.46,0.67,0.64,0.7,0.67,0.95,0.68,0.85,0.57,0.58
encog-cs.csv,1.0,0.49,0.49,0.77,0.86,0.87,0.9,0.83,0.67,0.09,0.66,0.85,0.65,0.78
extprosys.csv,1.0,0.82,0.57,0.87,0.89,0.73,0.41,0.68,0.45,0.73,0.68,0.7,0.9,0.97
ibatisdb.csv,0.0,0.24,0.4,0.11,0.32,0.17,0.18,0.25,0.44,0.32,0.63,0.05,0.05,0.81
intact.csv,0.0,0.78,0.6,0.81,0.68,0.6,0.46,0.4,0.71,0.91,0.92,0.45,0.84,0.56
japano.csv,0.0,0.94,0.85,0.88,0.79,0.83,0.95,0.72,0.94,0.73,0.74,0.9,0.84,0.75
lockss.csv,1.0,0.33,0.21,0.11,0.29,0.03,0.31,0.41,0.17,0.68,0.61,0.2,0.33,0.36
ofbiz.csv,0.0,0.71,0.75,0.49,0.32,0.6,0.41,0.36,0.55,0.18,0.79,0.4,0.75,0.36
officefloor.csv,1.0,0.22,0.32,0.64,0.25,0.4,0.03,0.62,0.53,0.23,0.63,0.1,0.25,0.89
opennms.csv,1.0,0.41,0.09,0.09,0.61,0.1,0.67,0.02,0.23,0.36,0.11,0.25,0.41,0.03
rohxel.csv,1.0,0.76,0.96,0.43,0.36,0.43,0.64,0.58,0.71,0.82,0.82,0.45,0.36,0.78
roolo.csv,0.0,0.73,0.94,0.77,0.86,0.77,0.41,0.54,0.62,0.45,0.79,0.65,0.75,0.75
sevenupdate.csv,1.0,0.73,1.0,1.0,0.82,1.0,1.0,1.0,0.92,0.59,0.97,1.0,0.91,1.0
